generation,stra.1,stra.2
init,0.001,0.999
0,0.00100177,0.99899823
1,0.001003546,0.998996454
2,0.001005329,0.998994671
3,0.001007119,0.998992881
4,0.001008915,0.998991085
5,0.001010718,0.998989282
6,0.001012528,0.998987472
7,0.001014344,0.998985656
8,0.001016167,0.998983833
9,0.001017996,0.998982004
10,0.001019833,0.998980167
11,0.001021676,0.998978324
12,0.001023527,0.998976473
13,0.001025384,0.998974616
14,0.001027248,0.998972752
15,0.00102912,0.99897088
16,0.001030998,0.998969002
17,0.001032883,0.998967117
18,0.001034776,0.998965224
19,0.001036676,0.998963324
20,0.001038583,0.998961417
21,0.001040497,0.998959503
22,0.001042419,0.998957581
23,0.001044347,0.998955653
24,0.001046284,0.998953716
25,0.001048227,0.998951773
26,0.001050179,0.998949821
27,0.001052137,0.998947863
28,0.001054104,0.998945896
29,0.001056077,0.998943923
30,0.001058059,0.998941941
31,0.001060048,0.998939952
32,0.001062045,0.998937955
33,0.00106405,0.99893595
34,0.001066062,0.998933938
35,0.001068083,0.998931917
36,0.001070111,0.998929889
37,0.001072148,0.998927852
38,0.001074192,0.998925808
39,0.001076244,0.998923756
40,0.001078305,0.998921695
41,0.001080373,0.998919627
42,0.00108245,0.99891755
43,0.001084535,0.998915465
44,0.001086629,0.998913371
45,0.001088731,0.998911269
46,0.001090841,0.998909159
47,0.001092959,0.998907041
48,0.001095086,0.998904914
49,0.001097222,0.998902778
50,0.001099366,0.998900634
51,0.001101519,0.998898481
52,0.001103681,0.998896319
53,0.001105851,0.998894149
54,0.001108031,0.998891969
55,0.001110219,0.998889781
56,0.001112416,0.998887584
57,0.001114622,0.998885378
58,0.001116837,0.998883163
59,0.001119061,0.998880939
60,0.001121294,0.998878706
61,0.001123537,0.998876463
62,0.001125789,0.998874211
63,0.00112805,0.99887195
64,0.00113032,0.99886968
65,0.0011326,0.9988674
66,0.001134889,0.998865111
67,0.001137188,0.998862812
68,0.001139497,0.998860503
69,0.001141815,0.998858185
70,0.001144143,0.998855857
71,0.001146481,0.998853519
72,0.001148828,0.998851172
73,0.001151186,0.998848814
74,0.001153553,0.998846447
75,0.001155931,0.998844069
76,0.001158318,0.998841682
77,0.001160716,0.998839284
78,0.001163124,0.998836876
79,0.001165543,0.998834457
80,0.001167971,0.998832029
81,0.001170411,0.998829589
82,0.00117286,0.99882714
83,0.001175321,0.998824679
84,0.001177791,0.998822209
85,0.001180273,0.998819727
86,0.001182765,0.998817235
87,0.001185269,0.998814731
88,0.001187783,0.998812217
89,0.001190308,0.998809692
90,0.001192844,0.998807156
91,0.001195391,0.998804609
92,0.00119795,0.99880205
93,0.00120052,0.99879948
94,0.001203101,0.998796899
95,0.001205694,0.998794306
96,0.001208298,0.998791702
97,0.001210914,0.998789086
98,0.001213541,0.998786459
99,0.00121618,0.99878382
100,0.001218831,0.998781169
101,0.001221494,0.998778506
102,0.001224169,0.998775831
103,0.001226856,0.998773144
104,0.001229555,0.998770445
105,0.001232266,0.998767734
106,0.00123499,0.99876501
107,0.001237726,0.998762274
108,0.001240474,0.998759526
109,0.001243235,0.998756765
110,0.001246009,0.998753991
111,0.001248795,0.998751205
112,0.001251594,0.998748406
113,0.001254406,0.998745594
114,0.001257232,0.998742768
115,0.00126007,0.99873993
116,0.001262921,0.998737079
117,0.001265786,0.998734214
118,0.001268664,0.998731336
119,0.001271556,0.998728444
120,0.001274461,0.998725539
121,0.001277379,0.998722621
122,0.001280312,0.998719688
123,0.001283258,0.998716742
124,0.001286219,0.998713781
125,0.001289193,0.998710807
126,0.001292181,0.998707819
127,0.001295184,0.998704816
128,0.001298201,0.998701799
129,0.001301233,0.998698767
130,0.001304279,0.998695721
131,0.001307339,0.998692661
132,0.001310415,0.998689585
133,0.001313505,0.998686495
134,0.001316611,0.998683389
135,0.001319731,0.998680269
136,0.001322867,0.998677133
137,0.001326017,0.998673983
138,0.001329184,0.998670816
139,0.001332366,0.998667634
140,0.001335563,0.998664437
141,0.001338777,0.998661223
142,0.001342006,0.998657994
143,0.001345251,0.998654749
144,0.001348512,0.998651488
145,0.00135179,0.99864821
146,0.001355084,0.998644916
147,0.001358394,0.998641606
148,0.001361721,0.998638279
149,0.001365065,0.998634935
150,0.001368425,0.998631575
151,0.001371803,0.998628197
152,0.001375197,0.998624803
153,0.001378609,0.998621391
154,0.001382039,0.998617961
155,0.001385485,0.998614515
156,0.00138895,0.99861105
157,0.001392432,0.998607568
158,0.001395932,0.998604068
