generation,stra.1,stra.2
init,0.001,0.999
0,0.001024956,0.998975044
1,0.001050536,0.998949464
2,0.001076756,0.998923244
3,0.001103631,0.998896369
4,0.001131178,0.998868822
5,0.001159413,0.998840587
6,0.001188354,0.998811646
7,0.001218019,0.998781981
8,0.001248426,0.998751574
9,0.001279593,0.998720407
10,0.00131154,0.99868846
11,0.001344285,0.998655715
12,0.00137785,0.99862215
13,0.001412255,0.998587745
14,0.00144752,0.99855248
15,0.001483668,0.998516332
16,0.00152072,0.99847928
17,0.0015587,0.9984413
18,0.00159763,0.99840237
19,0.001637535,0.998362465
20,0.001678439,0.998321561
21,0.001720367,0.998279633
22,0.001763344,0.998236656
23,0.001807399,0.998192601
24,0.001852556,0.998147444
25,0.001898845,0.998101155
26,0.001946294,0.998053706
27,0.001994931,0.998005069
28,0.002044787,0.997955213
29,0.002095893,0.997904107
30,0.00214828,0.99785172
31,0.002201981,0.997798019
32,0.002257027,0.997742973
33,0.002313455,0.997686545
34,0.002371297,0.997628703
35,0.002430591,0.997569409
36,0.002491372,0.997508628
37,0.002553679,0.997446321
38,0.002617549,0.997382451
39,0.002683023,0.997316977
40,0.002750141,0.997249859
41,0.002818944,0.997181056
42,0.002889475,0.997110525
43,0.002961778,0.997038222
44,0.003035898,0.996964102
45,0.003111881,0.996888119
46,0.003189774,0.996810226
47,0.003269625,0.996730375
48,0.003351484,0.996648516
49,0.003435402,0.996564598
50,0.003521432,0.996478568
51,0.003609626,0.996390374
52,0.003700041,0.996299959
53,0.003792732,0.996207268
54,0.003887757,0.996112243
55,0.003985176,0.996014824
56,0.00408505,0.99591495
57,0.004187441,0.995812559
58,0.004292414,0.995707586
59,0.004400033,0.995599967
60,0.004510368,0.995489632
61,0.004623486,0.995376514
62,0.00473946,0.99526054
63,0.004858362,0.995141638
64,0.004980267,0.995019733
65,0.005105252,0.994894748
66,0.005233395,0.994766605
67,0.005364779,0.994635221
68,0.005499485,0.994500515
69,0.0056376,0.9943624
70,0.00577921,0.99422079
71,0.005924406,0.994075594
72,0.00607328,0.99392672
73,0.006225926,0.993774074
74,0.006382441,0.993617559
75,0.006542926,0.993457074
76,0.006707483,0.993292517
77,0.006876216,0.993123784
78,0.007049235,0.992950765
79,0.007226648,0.992773352
80,0.007408572,0.992591428
81,0.007595121,0.992404879
82,0.007786417,0.992213583
83,0.007982582,0.992017418
84,0.008183744,0.991816256
85,0.008390031,0.991609969
86,0.008601577,0.991398423
87,0.00881852,0.99118148
88,0.009041001,0.990958999
89,0.009269163,0.990730837
90,0.009503156,0.990496844
91,0.009743132,0.990256868
92,0.009989247,0.990010753
93,0.010241664,0.989758336
94,0.010500548,0.989499452
95,0.010766068,0.989233932
96,0.0110384,0.9889616
97,0.011317723,0.988682277
98,0.011604221,0.988395779
99,0.011898085,0.988101915
100,0.01219951,0.98780049
101,0.012508695,0.987491305
102,0.012825848,0.987174152
103,0.013151179,0.986848821
104,0.013484907,0.986515093
105,0.013827256,0.986172744
106,0.014178455,0.985821545
107,0.014538743,0.985461257
108,0.014908361,0.985091639
109,0.015287562,0.984712438
110,0.015676601,0.984323399
111,0.016075745,0.983924255
112,0.016485267,0.983514733
113,0.016905446,0.983094554
114,0.017336571,0.982663429
115,0.017778939,0.982221061
116,0.018232856,0.981767144
117,0.018698636,0.981301364
118,0.019176603,0.980823397
119,0.01966709,0.98033291
120,0.020170441,0.979829559
121,0.020687008,0.979312992
122,0.021217155,0.978782845
123,0.021761257,0.978238743
124,0.022319699,0.977680301
125,0.022892878,0.977107122
126,0.023481204,0.976518796
127,0.024085098,0.975914902
128,0.024704994,0.975295006
129,0.025341339,0.974658661
130,0.025994595,0.974005405
131,0.026665236,0.973334764
132,0.027353753,0.972646247
133,0.02806065,0.97193935
134,0.028786447,0.971213553
135,0.029531682,0.970468318
136,0.030296907,0.969703093
137,0.031082692,0.968917308
138,0.031889628,0.968110372
139,0.03271832,0.96728168
140,0.033569394,0.966430606
141,0.034443498,0.965556502
142,0.035341297,0.964658703
143,0.03626348,0.96373652
144,0.037210757,0.962789243
145,0.038183861,0.961816139
146,0.03918355,0.96081645
147,0.040210604,0.959789396
148,0.041265832,0.958734168
149,0.042350065,0.957649935
150,0.043464166,0.956535834
151,0.044609024,0.955390976
152,0.045785558,0.954214442
153,0.046994718,0.953005282
154,0.048237484,0.951762516
155,0.049514871,0.950485129
156,0.050827928,0.949172072
157,0.052177738,0.947822262
158,0.053565423,0.946434577
159,0.054992141,0.945007859
160,0.056459091,0.943540909
161,0.057967512,0.942032488
162,0.059518687,0.940481313
163,0.061113943,0.938886057
164,0.062754652,0.937245348
165,0.064442234,0.935557766
166,0.06617816,0.93382184
167,0.067963951,0.932036049
168,0.069801181,0.930198819
169,0.071691481,0.928308519
170,0.073636537,0.926363463
171,0.075638096,0.924361904
172,0.077697968,0.922302032
173,0.079818025,0.920181975
174,0.082000207,0.917999793
175,0.08424652,0.91575348
176,0.086559045,0.913440955
177,0.088939935,0.911060065
178,0.091391419,0.908608581
179,0.093915807,0.906084193
180,0.09651549,0.90348451
181,0.099192943,0.900807057
182,0.101950729,0.898049271
183,0.104791503,0.895208497
184,0.107718012,0.892281988
185,0.110733099,0.889266901
186,0.113839706,0.886160294
187,0.117040879,0.882959121
188,0.120339767,0.879660233
189,0.123739628,0.876260372
190,0.12724383,0.87275617
191,0.130855854,0.869144146
192,0.134579296,0.865420704
193,0.138417872,0.861582128
194,0.142375416,0.857624584
195,0.146455884,0.853544116
196,0.150663356,0.849336644
197,0.155002035,0.844997965
198,0.159476251,0.840523749
199,0.164090455,0.835909545
200,0.168849226,0.831150774
201,0.173757265,0.826242735
202,0.178819393,0.821180607
203,0.184040549,0.815959451
204,0.189425784,0.810574216
205,0.194980259,0.805019741
206,0.200709235,0.799290765
207,0.206618065,0.793381935
208,0.212712183,0.787287817
209,0.218997093,0.781002907
210,0.225478356,0.774521644
211,0.232161567,0.767838433
212,0.239052342,0.760947658
213,0.246156289,0.753843711
214,0.253478985,0.746521015
215,0.261025949,0.738974051
216,0.2688026,0.7311974
217,0.276814228,0.723185772
