generation,stra.1,stra.2
init,0.004,0.996
0,0.004000887,0.995999113
1,0.004001777,0.995998223
2,0.004002668,0.995997332
3,0.004003563,0.995996437
4,0.004004459,0.995995541
5,0.004005358,0.995994642
6,0.004006259,0.995993741
7,0.004007162,0.995992838
8,0.004008068,0.995991932
9,0.004008976,0.995991024
10,0.004009887,0.995990113
11,0.0040108,0.9959892
12,0.004011715,0.995988285
13,0.004012632,0.995987368
14,0.004013552,0.995986448
15,0.004014475,0.995985525
16,0.0040154,0.9959846
17,0.004016327,0.995983673
18,0.004017257,0.995982743
19,0.004018189,0.995981811
20,0.004019123,0.995980877
21,0.00402006,0.99597994
22,0.004021,0.995979
23,0.004021942,0.995978058
24,0.004022886,0.995977114
25,0.004023833,0.995976167
26,0.004024782,0.995975218
27,0.004025734,0.995974266
28,0.004026688,0.995973312
29,0.004027645,0.995972355
30,0.004028604,0.995971396
31,0.004029566,0.995970434
32,0.004030531,0.995969469
33,0.004031498,0.995968502
34,0.004032467,0.995967533
35,0.004033439,0.995966561
36,0.004034414,0.995965586
37,0.004035391,0.995964609
38,0.00403637,0.99596363
39,0.004037353,0.995962647
40,0.004038338,0.995961662
41,0.004039325,0.995960675
42,0.004040315,0.995959685
43,0.004041308,0.995958692
44,0.004042303,0.995957697
45,0.004043301,0.995956699
46,0.004044302,0.995955698
47,0.004045305,0.995954695
48,0.004046311,0.995953689
49,0.004047319,0.995952681
50,0.004048331,0.995951669
51,0.004049344,0.995950656
52,0.004050361,0.995949639
53,0.00405138,0.99594862
54,0.004052402,0.995947598
55,0.004053427,0.995946573
56,0.004054454,0.995945546
57,0.004055485,0.995944515
58,0.004056518,0.995943482
59,0.004057553,0.995942447
60,0.004058592,0.995941408
61,0.004059633,0.995940367
62,0.004060677,0.995939323
63,0.004061723,0.995938277
64,0.004062773,0.995937227
65,0.004063825,0.995936175
66,0.00406488,0.99593512
67,0.004065938,0.995934062
68,0.004066999,0.995933001
69,0.004068063,0.995931937
70,0.004069129,0.995930871
71,0.004070198,0.995929802
72,0.00407127,0.99592873
73,0.004072345,0.995927655
74,0.004073423,0.995926577
75,0.004074504,0.995925496
76,0.004075588,0.995924412
77,0.004076674,0.995923326
78,0.004077764,0.995922236
79,0.004078856,0.995921144
80,0.004079952,0.995920048
81,0.00408105,0.99591895
82,0.004082151,0.995917849
83,0.004083256,0.995916744
84,0.004084363,0.995915637
85,0.004085473,0.995914527
86,0.004086586,0.995913414
87,0.004087702,0.995912298
88,0.004088821,0.995911179
89,0.004089944,0.995910056
90,0.004091069,0.995908931
91,0.004092197,0.995907803
92,0.004093328,0.995906672
93,0.004094463,0.995905537
94,0.0040956,0.9959044
95,0.004096741,0.995903259
96,0.004097884,0.995902116
97,0.004099031,0.995900969
98,0.004100181,0.995899819
99,0.004101334,0.995898666
100,0.00410249,0.99589751
101,0.004103649,0.995896351
102,0.004104811,0.995895189
103,0.004105977,0.995894023
104,0.004107145,0.995892855
105,0.004108317,0.995891683
106,0.004109492,0.995890508
107,0.004110671,0.995889329
108,0.004111852,0.995888148
109,0.004113037,0.995886963
110,0.004114225,0.995885775
111,0.004115416,0.995884584
112,0.00411661,0.99588339
113,0.004117808,0.995882192
114,0.004119009,0.995880991
115,0.004120213,0.995879787
116,0.00412142,0.99587858
117,0.004122631,0.995877369
118,0.004123845,0.995876155
119,0.004125063,0.995874937
120,0.004126283,0.995873717
121,0.004127507,0.995872493
122,0.004128735,0.995871265
123,0.004129966,0.995870034
124,0.0041312,0.9958688
125,0.004132438,0.995867562
126,0.004133679,0.995866321
127,0.004134923,0.995865077
128,0.004136171,0.995863829
129,0.004137422,0.995862578
130,0.004138677,0.995861323
