generation,stra.1,stra.2
init,0.001,0.999
0,0.001000005,0.998999995
1,0.00100001,0.99899999
2,0.001000015,0.998999985
3,0.001000019,0.998999981
4,0.001000024,0.998999976
5,0.001000029,0.998999971
6,0.001000034,0.998999966
7,0.001000039,0.998999961
8,0.001000044,0.998999956
9,0.001000048,0.998999952
10,0.001000053,0.998999947
11,0.001000058,0.998999942
12,0.001000063,0.998999937
13,0.001000068,0.998999932
14,0.001000073,0.998999927
15,0.001000078,0.998999922
16,0.001000082,0.998999918
17,0.001000087,0.998999913
18,0.001000092,0.998999908
19,0.001000097,0.998999903
20,0.001000102,0.998999898
21,0.001000107,0.998999893
22,0.001000111,0.998999889
23,0.001000116,0.998999884
24,0.001000121,0.998999879
25,0.001000126,0.998999874
26,0.001000131,0.998999869
27,0.001000136,0.998999864
28,0.001000141,0.998999859
29,0.001000145,0.998999855
30,0.00100015,0.99899985
31,0.001000155,0.998999845
32,0.00100016,0.99899984
33,0.001000165,0.998999835
34,0.00100017,0.99899983
35,0.001000174,0.998999826
36,0.001000179,0.998999821
37,0.001000184,0.998999816
38,0.001000189,0.998999811
39,0.001000194,0.998999806
40,0.001000199,0.998999801
41,0.001000204,0.998999796
42,0.001000208,0.998999792
43,0.001000213,0.998999787
44,0.001000218,0.998999782
45,0.001000223,0.998999777
46,0.001000228,0.998999772
47,0.001000233,0.998999767
48,0.001000237,0.998999763
49,0.001000242,0.998999758
50,0.001000247,0.998999753
51,0.001000252,0.998999748
52,0.001000257,0.998999743
53,0.001000262,0.998999738
54,0.001000267,0.998999733
55,0.001000271,0.998999729
56,0.001000276,0.998999724
57,0.001000281,0.998999719
58,0.001000286,0.998999714
59,0.001000291,0.998999709
60,0.001000296,0.998999704
61,0.0010003,0.9989997
62,0.001000305,0.998999695
63,0.00100031,0.99899969
64,0.001000315,0.998999685
65,0.00100032,0.99899968
66,0.001000325,0.998999675
67,0.00100033,0.99899967
68,0.001000334,0.998999666
69,0.001000339,0.998999661
70,0.001000344,0.998999656
71,0.001000349,0.998999651
72,0.001000354,0.998999646
73,0.001000359,0.998999641
74,0.001000363,0.998999637
75,0.001000368,0.998999632
76,0.001000373,0.998999627
77,0.001000378,0.998999622
78,0.001000383,0.998999617
79,0.001000388,0.998999612
80,0.001000393,0.998999607
81,0.001000397,0.998999603
82,0.001000402,0.998999598
83,0.001000407,0.998999593
84,0.001000412,0.998999588
