generation,stra.1,stra.2
init,0.001,0.999
0,0.002072642,0.997927358
1,0.004286131,0.995713869
2,0.008822441,0.991177559
3,0.017989519,0.982010481
4,0.036004144,0.963995856
5,0.069568334,0.930431666
6,0.126495975,0.873504025
7,0.210016594,0.789983406
8,0.312007667,0.687992333
9,0.416031495,0.583968505
10,0.508869503,0.491130497
11,0.585725926,0.414274074
12,0.647389942,0.352610058
13,0.696553309,0.303446691
14,0.73597762,0.26402238
15,0.767937127,0.232062873
16,0.794170145,0.205829855
17,0.815972913,0.184027087
18,0.834308426,0.165691574
19,0.849896215,0.150103785
20,0.863279278,0.136720722
21,0.874872208,0.125127792
22,0.884995414,0.115004586
23,0.893899487,0.106100513
24,0.901782669,0.098217331
25,0.90880349,0.09119651
26,0.915090009,0.084909991
27,0.920746651,0.079253349
28,0.925859319,0.074140681
29,0.930499257,0.069500743
30,0.934726,0.065274
31,0.938589652,0.061410348
32,0.942132658,0.057867342
33,0.945391195,0.054608805
34,0.948396274,0.051603726
35,0.951174622,0.048825378
36,0.953749388,0.046250612
37,0.95614072,0.04385928
38,0.958366228,0.041633772
39,0.960441371,0.039558629
40,0.962379769,0.037620231
41,0.964193473,0.035806527
42,0.965893176,0.034106824
43,0.967488404,0.032511596
44,0.968987666,0.031012334
45,0.970398586,0.029601414
46,0.971728015,0.028271985
47,0.972982127,0.027017873
48,0.974166498,0.025833502
49,0.975286179,0.024713821
50,0.976345753,0.023654247
51,0.977349391,0.022650609
52,0.978300894,0.021699106
53,0.979203735,0.020796265
54,0.980061094,0.019938906
55,0.980875885,0.019124115
56,0.981650787,0.018349213
57,0.982388263,0.017611737
58,0.983090588,0.016909412
59,0.983759857,0.016240143
60,0.98439801,0.01560199
61,0.985006845,0.014993155
62,0.985588026,0.014411974
63,0.986143101,0.013856899
64,0.986673508,0.013326492
65,0.987180586,0.012819414
66,0.987665584,0.012334416
67,0.988129667,0.011870333
68,0.988573923,0.011426077
69,0.988999372,0.011000628
70,0.989406966,0.010593034
71,0.989797599,0.010202401
72,0.99017211,0.00982789
73,0.990531287,0.009468713
74,0.99087587,0.00912413
75,0.991206556,0.008793444
76,0.991524,0.008476
77,0.991828821,0.008171179
78,0.992121603,0.007878397
79,0.992402896,0.007597104
80,0.99267322,0.00732678
81,0.992933067,0.007066933
82,0.993182903,0.006817097
83,0.993423167,0.006576833
84,0.993654278,0.006345722
85,0.993876631,0.006123369
86,0.994090602,0.005909398
87,0.994296546,0.005703454
88,0.994494802,0.005505198
89,0.994685693,0.005314307
90,0.994869523,0.005130477
91,0.995046583,0.004953417
92,0.995217151,0.004782849
93,0.995381491,0.004618509
94,0.995539853,0.004460147
95,0.995692477,0.004307523
96,0.995839592,0.004160408
97,0.995981416,0.004018584
98,0.996118157,0.003881843
99,0.996250013,0.003749987
100,0.996377174,0.003622826
101,0.996499823,0.003500177
102,0.996618132,0.003381868
103,0.996732267,0.003267733
104,0.996842387,0.003157613
105,0.996948645,0.003051355
106,0.997051185,0.002948815
107,0.997150147,0.002849853
108,0.997245665,0.002754335
109,0.997337866,0.002662134
110,0.997426873,0.002573127
111,0.997512805,0.002487195
112,0.997595773,0.002404227
113,0.997675886,0.002324114
114,0.997753248,0.002246752
115,0.997827959,0.002172041
116,0.997900115,0.002099885
117,0.997969807,0.002030193
118,0.998037124,0.001962876
119,0.998102151,0.001897849
120,0.99816497,0.00183503
121,0.99822566,0.00177434
122,0.998284295,0.001715705
123,0.998340948,0.001659052
124,0.998395689,0.001604311
125,0.998448586,0.001551414
126,0.998499702,0.001500298
127,0.998549101,0.001450899
128,0.998596842,0.001403158
129,0.998642982,0.001357018
130,0.998687578,0.001312422
131,0.998730683,0.001269317
132,0.998772347,0.001227653
133,0.998812622,0.001187378
134,0.998851555,0.001148445
135,0.998889191,0.001110809
136,0.998925576,0.001074424
137,0.998960752,0.001039248
138,0.99899476,0.00100524
139,0.99902764,9.72E-04
140,0.999059431,9.41E-04
141,0.999090169,9.10E-04
142,0.99911989,8.80E-04
143,0.99914863,8.51E-04
144,0.999176419,8.24E-04
145,0.999203292,7.97E-04
146,0.999229279,7.71E-04
147,0.999254409,7.46E-04
148,0.999278711,7.21E-04
149,0.999302214,6.98E-04
150,0.999324943,6.75E-04
151,0.999346926,6.53E-04
152,0.999368186,6.32E-04
153,0.999388749,6.11E-04
