generation,stra.1,stra.2
init,0.001,0.999
0,0.001010823,0.998989177
10,0.001125688,0.998874312
20,0.001253557,0.998746443
30,0.00139589,0.99860411
40,0.001554309,0.998445691
50,0.001730614,0.998269386
60,0.001926802,0.998073198
70,0.002145088,0.997854912
80,0.002387927,0.997612073
90,0.002658038,0.997341962
100,0.002958432,0.997041568
110,0.00329244,0.99670756
120,0.003663744,0.996336256
130,0.00407641,0.99592359
140,0.004534924,0.995465076
150,0.005044231,0.994955769
160,0.005609774,0.994390226
170,0.006237535,0.993762465
180,0.00693408,0.99306592
190,0.007706603,0.992293397
200,0.008562971,0.991437029
210,0.009511768,0.990488232
220,0.010562339,0.989437661
230,0.011724827,0.988275173
240,0.013010213,0.986989787
250,0.01443034,0.98556966
260,0.015997933,0.984002067
270,0.017726611,0.982273389
280,0.019630872,0.980369128
290,0.021726071,0.978273929
300,0.024028366,0.975971634
310,0.026554644,0.973445356
320,0.029322408,0.970677592
330,0.032349634,0.967650366
340,0.03565458,0.96434542
350,0.039255559,0.960744441
360,0.043170663,0.956829337
370,0.047417436,0.952582564
380,0.052012508,0.947987492
390,0.056971184,0.943028816
400,0.062306995,0.937693005
410,0.068031234,0.931968766
420,0.074152475,0.925847525
430,0.080676099,0.919323901
440,0.087603847,0.912396153
450,0.094933433,0.905066567
460,0.102658212,0.897341788
470,0.110766959,0.889233041
480,0.119243758,0.880756242
490,0.128068014,0.871931986
500,0.137214619,0.862785381
510,0.146654245,0.853345755
520,0.156353784,0.843646216
530,0.166276903,0.833723097
540,0.176384695,0.823615305
550,0.186636415,0.813363585
560,0.196990241,0.803009759
570,0.207404054,0.792595946
580,0.217836191,0.782163809
590,0.228246148,0.771753852
600,0.238595204,0.761404796
610,0.248846957,0.751153043
620,0.258967753,0.741032247
630,0.268927008,0.731072992
640,0.27869742,0.72130258
650,0.288255088,0.711744912
660,0.297579527,0.702420473
670,0.306653618,0.693346382
680,0.315463481,0.684536519
690,0.323998303,0.676001697
700,0.332250128,0.667749872
710,0.340213618,0.659786382
720,0.347885804,0.652114196
730,0.355265825,0.644734175
740,0.362354678,0.637645322
750,0.36915497,0.63084503
760,0.375670683,0.624329317
770,0.381906957,0.618093043
780,0.387869889,0.612130111
790,0.393566352,0.606433648
800,0.39900383,0.60099617
810,0.404190273,0.595809727
820,0.409133972,0.590866028
830,0.413843445,0.586156555
840,0.418327344,0.581672656
850,0.42259437,0.57740563
860,0.426653209,0.573346791
870,0.43051247,0.56948753
880,0.434180643,0.565819357
890,0.437666055,0.562333945
900,0.44097684,0.55902316
910,0.444120918,0.555879082
920,0.447105977,0.552894023
930,0.449939453,0.550060547
940,0.452628528,0.547371472
950,0.455180121,0.544819879
960,0.457600887,0.542399113
970,0.459897214,0.540102786
980,0.462075226,0.537924774
990,0.464140788,0.535859212
1000,0.466099508,0.533900492
1100,0.480874798,0.519125202
1200,0.489512572,0.510487428
1300,0.494552202,0.505447798
1400,0.497490612,0.502509388
1500,0.499203532,0.500796468
1600,0.500202004,0.499797996
1700,0.500784011,0.499215989
1800,0.501123262,0.498876738
1900,0.50132101,0.49867899
2000,0.501436277,0.498563723
3000,0.501596635,0.498403365
4000,0.501597361,0.498402639
5000,0.501597364,0.498402636
6000,0.501597364,0.498402636
7000,0.501597364,0.498402636
8000,0.501597364,0.498402636
9000,0.501597364,0.498402636
10000,0.501597364,0.498402636
11000,0.501597364,0.498402636
12000,0.501597364,0.498402636
13000,0.501597364,0.498402636
14000,0.501597364,0.498402636
15000,0.501597364,0.498402636
16000,0.501597364,0.498402636
17000,0.501597364,0.498402636
18000,0.501597364,0.498402636
19000,0.501597364,0.498402636
20000,0.501597364,0.498402636
21000,0.501597364,0.498402636
22000,0.501597364,0.498402636
23000,0.501597364,0.498402636
24000,0.501597364,0.498402636
25000,0.501597364,0.498402636
26000,0.501597364,0.498402636
27000,0.501597364,0.498402636
28000,0.501597364,0.498402636
29000,0.501597364,0.498402636
30000,0.501597364,0.498402636
31000,0.501597364,0.498402636
32000,0.501597364,0.498402636
33000,0.501597364,0.498402636
34000,0.501597364,0.498402636
35000,0.501597364,0.498402636
36000,0.501597364,0.498402636
37000,0.501597364,0.498402636
38000,0.501597364,0.498402636
39000,0.501597364,0.498402636
40000,0.501597364,0.498402636
41000,0.501597364,0.498402636
42000,0.501597364,0.498402636
43000,0.501597364,0.498402636
44000,0.501597364,0.498402636
45000,0.501597364,0.498402636
46000,0.501597364,0.498402636
47000,0.501597364,0.498402636
48000,0.501597364,0.498402636
49000,0.501597364,0.498402636
50000,0.501597364,0.498402636
51000,0.501597364,0.498402636
52000,0.501597364,0.498402636
53000,0.501597364,0.498402636
54000,0.501597364,0.498402636
55000,0.501597364,0.498402636
56000,0.501597364,0.498402636
57000,0.501597364,0.498402636
58000,0.501597364,0.498402636
59000,0.501597364,0.498402636
60000,0.501597364,0.498402636
61000,0.501597364,0.498402636
62000,0.501597364,0.498402636
63000,0.501597364,0.498402636
64000,0.501597364,0.498402636
65000,0.501597364,0.498402636
66000,0.501597364,0.498402636
67000,0.501597364,0.498402636
68000,0.501597364,0.498402636
69000,0.501597364,0.498402636
70000,0.501597364,0.498402636
71000,0.501597364,0.498402636
