generation,stra.1,stra.2
init,0.001,0.999
0,0.001000321,0.998999679
1,0.001000642,0.998999358
2,0.001000964,0.998999036
3,0.001001286,0.998998714
4,0.001001608,0.998998392
5,0.00100193,0.99899807
6,0.001002252,0.998997748
7,0.001002575,0.998997425
8,0.001002898,0.998997102
9,0.001003221,0.998996779
10,0.001003544,0.998996456
11,0.001003867,0.998996133
12,0.001004191,0.998995809
13,0.001004515,0.998995485
14,0.001004839,0.998995161
15,0.001005163,0.998994837
16,0.001005488,0.998994512
17,0.001005813,0.998994187
18,0.001006137,0.998993863
19,0.001006463,0.998993537
20,0.001006788,0.998993212
21,0.001007114,0.998992886
22,0.001007439,0.998992561
23,0.001007765,0.998992235
24,0.001008091,0.998991909
25,0.001008418,0.998991582
26,0.001008744,0.998991256
27,0.001009071,0.998990929
28,0.001009398,0.998990602
29,0.001009726,0.998990274
30,0.001010053,0.998989947
31,0.001010381,0.998989619
32,0.001010709,0.998989291
33,0.001011037,0.998988963
34,0.001011365,0.998988635
35,0.001011694,0.998988306
36,0.001012022,0.998987978
37,0.001012351,0.998987649
38,0.001012681,0.998987319
39,0.00101301,0.99898699
40,0.00101334,0.99898666
41,0.00101367,0.99898633
42,0.001014,0.998986
43,0.00101433,0.99898567
44,0.00101466,0.99898534
45,0.001014991,0.998985009
46,0.001015322,0.998984678
47,0.001015653,0.998984347
48,0.001015985,0.998984015
49,0.001016316,0.998983684
50,0.001016648,0.998983352
51,0.00101698,0.99898302
52,0.001017312,0.998982688
53,0.001017645,0.998982355
54,0.001017977,0.998982023
55,0.00101831,0.99898169
56,0.001018643,0.998981357
57,0.001018977,0.998981023
58,0.00101931,0.99898069
59,0.001019644,0.998980356
60,0.001019978,0.998980022
61,0.001020312,0.998979688
62,0.001020647,0.998979353
63,0.001020981,0.998979019
64,0.001021316,0.998978684
65,0.001021651,0.998978349
66,0.001021987,0.998978013
67,0.001022322,0.998977678
68,0.001022658,0.998977342
69,0.001022994,0.998977006
70,0.00102333,0.99897667
71,0.001023667,0.998976333
72,0.001024003,0.998975997
73,0.00102434,0.99897566
74,0.001024677,0.998975323
75,0.001025015,0.998974985
76,0.001025352,0.998974648
77,0.00102569,0.99897431
78,0.001026028,0.998973972
79,0.001026366,0.998973634
80,0.001026705,0.998973295
81,0.001027043,0.998972957
82,0.001027382,0.998972618
83,0.001027721,0.998972279
84,0.001028061,0.998971939
85,0.0010284,0.9989716
86,0.00102874,0.99897126
87,0.00102908,0.99897092
88,0.00102942,0.99897058
89,0.001029761,0.998970239
90,0.001030102,0.998969898
91,0.001030442,0.998969558
92,0.001030784,0.998969216
93,0.001031125,0.998968875
94,0.001031467,0.998968533
95,0.001031808,0.998968192
