generation,stra.1,stra.2
init,0.001,0.999
0,0.001000197,0.998999803
1,0.001000393,0.998999607
2,0.00100059,0.99899941
3,0.001000787,0.998999213
4,0.001000984,0.998999016
5,0.001001181,0.998998819
6,0.001001378,0.998998622
7,0.001001575,0.998998425
8,0.001001773,0.998998227
9,0.00100197,0.99899803
10,0.001002168,0.998997832
11,0.001002365,0.998997635
12,0.001002563,0.998997437
13,0.001002761,0.998997239
14,0.001002959,0.998997041
15,0.001003157,0.998996843
16,0.001003355,0.998996645
17,0.001003553,0.998996447
18,0.001003752,0.998996248
19,0.00100395,0.99899605
20,0.001004149,0.998995851
21,0.001004347,0.998995653
22,0.001004546,0.998995454
23,0.001004745,0.998995255
24,0.001004944,0.998995056
25,0.001005143,0.998994857
26,0.001005342,0.998994658
27,0.001005541,0.998994459
28,0.001005741,0.998994259
29,0.00100594,0.99899406
30,0.00100614,0.99899386
31,0.001006339,0.998993661
32,0.001006539,0.998993461
33,0.001006739,0.998993261
34,0.001006939,0.998993061
35,0.001007139,0.998992861
36,0.001007339,0.998992661
37,0.001007539,0.998992461
38,0.00100774,0.99899226
39,0.00100794,0.99899206
40,0.001008141,0.998991859
41,0.001008341,0.998991659
42,0.001008542,0.998991458
43,0.001008743,0.998991257
44,0.001008944,0.998991056
45,0.001009145,0.998990855
46,0.001009346,0.998990654
47,0.001009547,0.998990453
48,0.001009749,0.998990251
49,0.00100995,0.99899005
50,0.001010152,0.998989848
51,0.001010354,0.998989646
52,0.001010555,0.998989445
53,0.001010757,0.998989243
54,0.001010959,0.998989041
55,0.001011161,0.998988839
56,0.001011363,0.998988637
57,0.001011566,0.998988434
58,0.001011768,0.998988232
59,0.001011971,0.998988029
60,0.001012173,0.998987827
61,0.001012376,0.998987624
62,0.001012579,0.998987421
63,0.001012782,0.998987218
64,0.001012985,0.998987015
65,0.001013188,0.998986812
66,0.001013391,0.998986609
67,0.001013594,0.998986406
68,0.001013798,0.998986202
69,0.001014001,0.998985999
70,0.001014205,0.998985795
71,0.001014408,0.998985592
72,0.001014612,0.998985388
73,0.001014816,0.998985184
74,0.00101502,0.99898498
75,0.001015224,0.998984776
76,0.001015429,0.998984571
77,0.001015633,0.998984367
78,0.001015837,0.998984163
79,0.001016042,0.998983958
80,0.001016247,0.998983753
81,0.001016451,0.998983549
82,0.001016656,0.998983344
83,0.001016861,0.998983139
84,0.001017066,0.998982934
85,0.001017271,0.998982729
86,0.001017477,0.998982523
87,0.001017682,0.998982318
88,0.001017888,0.998982112
89,0.001018093,0.998981907
90,0.001018299,0.998981701
91,0.001018505,0.998981495
92,0.001018711,0.998981289
93,0.001018917,0.998981083
94,0.001019123,0.998980877
95,0.001019329,0.998980671
96,0.001019535,0.998980465
97,0.001019742,0.998980258
98,0.001019948,0.998980052
99,0.001020155,0.998979845
100,0.001020362,0.998979638
101,0.001020569,0.998979431
102,0.001020776,0.998979224
103,0.001020983,0.998979017
104,0.00102119,0.99897881
105,0.001021397,0.998978603
106,0.001021604,0.998978396
107,0.001021812,0.998978188
108,0.00102202,0.99897798
109,0.001022227,0.998977773
110,0.001022435,0.998977565
111,0.001022643,0.998977357
112,0.001022851,0.998977149
113,0.001023059,0.998976941
114,0.001023267,0.998976733
115,0.001023476,0.998976524
116,0.001023684,0.998976316
117,0.001023893,0.998976107
118,0.001024101,0.998975899
119,0.00102431,0.99897569
120,0.001024519,0.998975481
121,0.001024728,0.998975272
122,0.001024937,0.998975063
123,0.001025146,0.998974854
124,0.001025356,0.998974644
125,0.001025565,0.998974435
126,0.001025775,0.998974225
127,0.001025984,0.998974016
128,0.001026194,0.998973806
129,0.001026404,0.998973596
130,0.001026614,0.998973386
131,0.001026824,0.998973176
132,0.001027034,0.998972966
133,0.001027244,0.998972756
134,0.001027455,0.998972545
135,0.001027665,0.998972335
136,0.001027876,0.998972124
137,0.001028087,0.998971913
138,0.001028297,0.998971703
139,0.001028508,0.998971492
140,0.001028719,0.998971281
141,0.00102893,0.99897107
142,0.001029142,0.998970858
143,0.001029353,0.998970647
144,0.001029565,0.998970435
145,0.001029776,0.998970224
146,0.001029988,0.998970012
147,0.0010302,0.9989698
148,0.001030412,0.998969588
149,0.001030624,0.998969376
150,0.001030836,0.998969164
151,0.001031048,0.998968952
152,0.00103126,0.99896874
153,0.001031473,0.998968527
154,0.001031685,0.998968315
155,0.001031898,0.998968102
156,0.001032111,0.998967889
157,0.001032324,0.998967676
158,0.001032537,0.998967463
159,0.00103275,0.99896725
160,0.001032963,0.998967037
161,0.001033176,0.998966824
162,0.00103339,0.99896661
163,0.001033604,0.998966396
164,0.001033817,0.998966183
165,0.001034031,0.998965969
166,0.001034245,0.998965755
167,0.001034459,0.998965541
168,0.001034673,0.998965327
169,0.001034887,0.998965113
170,0.001035102,0.998964898
171,0.001035316,0.998964684
172,0.001035531,0.998964469
173,0.001035745,0.998964255
174,0.00103596,0.99896404
175,0.001036175,0.998963825
176,0.00103639,0.99896361
177,0.001036605,0.998963395
178,0.00103682,0.99896318
179,0.001037036,0.998962964
180,0.001037251,0.998962749
181,0.001037467,0.998962533
182,0.001037682,0.998962318
183,0.001037898,0.998962102
184,0.001038114,0.998961886
185,0.00103833,0.99896167
186,0.001038546,0.998961454
187,0.001038763,0.998961237
188,0.001038979,0.998961021
189,0.001039195,0.998960805
190,0.001039412,0.998960588
191,0.001039629,0.998960371
192,0.001039846,0.998960154
193,0.001040063,0.998959937
194,0.00104028,0.99895972
195,0.001040497,0.998959503
196,0.001040714,0.998959286
197,0.001040931,0.998959069
198,0.001041149,0.998958851
199,0.001041366,0.998958634
200,0.001041584,0.998958416
201,0.001041802,0.998958198
202,0.00104202,0.99895798
203,0.001042238,0.998957762
204,0.001042456,0.998957544
205,0.001042675,0.998957325
206,0.001042893,0.998957107
207,0.001043112,0.998956888
208,0.00104333,0.99895667
209,0.001043549,0.998956451
210,0.001043768,0.998956232
211,0.001043987,0.998956013
212,0.001044206,0.998955794
213,0.001044425,0.998955575
214,0.001044644,0.998955356
215,0.001044864,0.998955136
216,0.001045083,0.998954917
217,0.001045303,0.998954697
218,0.001045523,0.998954477
219,0.001045743,0.998954257
220,0.001045963,0.998954037
221,0.001046183,0.998953817
222,0.001046403,0.998953597
223,0.001046624,0.998953376
224,0.001046844,0.998953156
225,0.001047065,0.998952935
226,0.001047285,0.998952715
227,0.001047506,0.998952494
228,0.001047727,0.998952273
229,0.001047948,0.998952052
230,0.00104817,0.99895183
231,0.001048391,0.998951609
232,0.001048612,0.998951388
233,0.001048834,0.998951166
234,0.001049055,0.998950945
235,0.001049277,0.998950723
236,0.001049499,0.998950501
237,0.001049721,0.998950279
238,0.001049943,0.998950057
239,0.001050165,0.998949835
240,0.001050388,0.998949612
241,0.00105061,0.99894939
242,0.001050833,0.998949167
243,0.001051056,0.998948944
244,0.001051278,0.998948722
245,0.001051501,0.998948499
246,0.001051724,0.998948276
247,0.001051948,0.998948052
248,0.001052171,0.998947829
249,0.001052394,0.998947606
250,0.001052618,0.998947382
251,0.001052842,0.998947158
252,0.001053065,0.998946935
253,0.001053289,0.998946711
254,0.001053513,0.998946487
255,0.001053737,0.998946263
256,0.001053962,0.998946038
257,0.001054186,0.998945814
258,0.001054411,0.998945589
259,0.001054635,0.998945365
260,0.00105486,0.99894514
261,0.001055085,0.998944915
262,0.00105531,0.99894469
263,0.001055535,0.998944465
264,0.00105576,0.99894424
265,0.001055985,0.998944015
266,0.001056211,0.998943789
267,0.001056436,0.998943564
268,0.001056662,0.998943338
269,0.001056888,0.998943112
270,0.001057114,0.998942886
271,0.00105734,0.99894266
272,0.001057566,0.998942434
273,0.001057792,0.998942208
274,0.001058019,0.998941981
275,0.001058245,0.998941755
276,0.001058472,0.998941528
277,0.001058699,0.998941301
278,0.001058926,0.998941074
279,0.001059153,0.998940847
280,0.00105938,0.99894062
281,0.001059607,0.998940393
282,0.001059834,0.998940166
283,0.001060062,0.998939938
284,0.00106029,0.99893971
285,0.001060517,0.998939483
286,0.001060745,0.998939255
287,0.001060973,0.998939027
288,0.001061201,0.998938799
289,0.00106143,0.99893857
290,0.001061658,0.998938342
291,0.001061886,0.998938114
292,0.001062115,0.998937885
293,0.001062344,0.998937656
294,0.001062573,0.998937427
295,0.001062802,0.998937198
296,0.001063031,0.998936969
297,0.00106326,0.99893674
298,0.001063489,0.998936511
299,0.001063719,0.998936281
300,0.001063948,0.998936052
301,0.001064178,0.998935822
302,0.001064408,0.998935592
303,0.001064638,0.998935362
304,0.001064868,0.998935132
305,0.001065098,0.998934902
306,0.001065328,0.998934672
307,0.001065559,0.998934441
308,0.001065789,0.998934211
309,0.00106602,0.99893398
310,0.001066251,0.998933749
311,0.001066482,0.998933518
312,0.001066713,0.998933287
313,0.001066944,0.998933056
314,0.001067175,0.998932825
315,0.001067407,0.998932593
316,0.001067638,0.998932362
317,0.00106787,0.99893213
318,0.001068102,0.998931898
319,0.001068334,0.998931666
320,0.001068566,0.998931434
321,0.001068798,0.998931202
322,0.001069031,0.998930969
323,0.001069263,0.998930737
324,0.001069496,0.998930504
325,0.001069728,0.998930272
326,0.001069961,0.998930039
327,0.001070194,0.998929806
328,0.001070427,0.998929573
329,0.00107066,0.99892934
330,0.001070894,0.998929106
331,0.001071127,0.998928873
332,0.001071361,0.998928639
333,0.001071594,0.998928406
334,0.001071828,0.998928172
335,0.001072062,0.998927938
336,0.001072296,0.998927704
337,0.001072531,0.998927469
338,0.001072765,0.998927235
339,0.001072999,0.998927001
340,0.001073234,0.998926766
341,0.001073469,0.998926531
342,0.001073704,0.998926296
343,0.001073939,0.998926061
344,0.001074174,0.998925826
345,0.001074409,0.998925591
346,0.001074644,0.998925356
347,0.00107488,0.99892512
348,0.001075115,0.998924885
349,0.001075351,0.998924649
350,0.001075587,0.998924413
351,0.001075823,0.998924177
352,0.001076059,0.998923941
353,0.001076295,0.998923705
354,0.001076532,0.998923468
355,0.001076768,0.998923232
356,0.001077005,0.998922995
357,0.001077242,0.998922758
358,0.001077479,0.998922521
359,0.001077716,0.998922284
360,0.001077953,0.998922047
361,0.00107819,0.99892181
362,0.001078428,0.998921572
363,0.001078665,0.998921335
364,0.001078903,0.998921097
365,0.001079141,0.998920859
366,0.001079379,0.998920621
367,0.001079617,0.998920383
368,0.001079855,0.998920145
369,0.001080093,0.998919907
370,0.001080332,0.998919668
371,0.00108057,0.99891943
372,0.001080809,0.998919191
