generation,stra.1,stra.2
init,0.999,0.001
0,0.998999002,0.001000998
1,0.998998002,0.001001998
2,0.998997002,0.001002998
3,0.998996001,0.001003999
4,0.998994999,0.001005001
5,0.998993995,0.001006005
6,0.998992991,0.001007009
7,0.998991986,0.001008014
8,0.998990979,0.001009021
9,0.998989972,0.001010028
10,0.998988964,0.001011036
11,0.998987954,0.001012046
12,0.998986944,0.001013056
13,0.998985933,0.001014067
14,0.998984921,0.001015079
15,0.998983907,0.001016093
16,0.998982893,0.001017107
17,0.998981878,0.001018122
18,0.998980861,0.001019139
19,0.998979844,0.001020156
20,0.998978825,0.001021175
21,0.998977806,0.001022194
22,0.998976786,0.001023214
23,0.998975764,0.001024236
24,0.998974742,0.001025258
25,0.998973718,0.001026282
26,0.998972694,0.001027306
27,0.998971668,0.001028332
28,0.998970642,0.001029358
29,0.998969614,0.001030386
30,0.998968586,0.001031414
31,0.998967556,0.001032444
32,0.998966525,0.001033475
33,0.998965494,0.001034506
34,0.998964461,0.001035539
35,0.998963427,0.001036573
36,0.998962393,0.001037607
37,0.998961357,0.001038643
38,0.99896032,0.00103968
39,0.998959282,0.001040718
40,0.998958243,0.001041757
41,0.998957203,0.001042797
42,0.998956163,0.001043837
43,0.998955121,0.001044879
44,0.998954078,0.001045922
45,0.998953033,0.001046967
46,0.998951988,0.001048012
47,0.998950942,0.001049058
48,0.998949895,0.001050105
49,0.998948847,0.001051153
50,0.998947798,0.001052202
51,0.998946747,0.001053253
52,0.998945696,0.001054304
53,0.998944644,0.001055356
54,0.99894359,0.00105641
55,0.998942536,0.001057464
56,0.99894148,0.00105852
57,0.998940423,0.001059577
58,0.998939366,0.001060634
59,0.998938307,0.001061693
60,0.998937247,0.001062753
61,0.998936187,0.001063813
62,0.998935125,0.001064875
63,0.998934062,0.001065938
64,0.998932998,0.001067002
65,0.998931933,0.001068067
66,0.998930867,0.001069133
67,0.998929799,0.001070201
68,0.998928731,0.001071269
69,0.998927662,0.001072338
70,0.998926592,0.001073408
71,0.99892552,0.00107448
72,0.998924448,0.001075552
73,0.998923374,0.001076626
74,0.998922299,0.001077701
75,0.998921224,0.001078776
76,0.998920147,0.001079853
77,0.998919069,0.001080931
78,0.99891799,0.00108201
79,0.99891691,0.00108309
80,0.998915829,0.001084171
81,0.998914747,0.001085253
82,0.998913664,0.001086336
83,0.99891258,0.00108742
84,0.998911494,0.001088506
85,0.998910408,0.001089592
86,0.99890932,0.00109068
87,0.998908232,0.001091768
88,0.998907142,0.001092858
89,0.998906051,0.001093949
90,0.998904959,0.001095041
91,0.998903866,0.001096134
92,0.998902772,0.001097228
93,0.998901677,0.001098323
94,0.998900581,0.001099419
95,0.998899483,0.001100517
96,0.998898385,0.001101615
97,0.998897285,0.001102715
98,0.998896185,0.001103815
99,0.998895083,0.001104917
200,0.998777969,0.001222031
300,0.998649822,0.001350178
400,0.99850828,0.00149172
500,0.998351951,0.001648049
600,0.998179301,0.001820699
700,0.997988639,0.002011361
800,0.997778105,0.002221895
900,0.997545646,0.002454354
1000,0.997289004,0.002710996
1100,0.997005694,0.002994306
1200,0.996692981,0.003307019
1300,0.996347859,0.003652141
1400,0.995967023,0.004032977
1500,0.995546844,0.004453156
1600,0.995083338,0.004916662
1700,0.994572136,0.005427864
1800,0.994008448,0.005991552
1900,0.993387031,0.006612969
2000,0.992702148,0.007297852
2100,0.991947531,0.008052469
2200,0.991116337,0.008883663
2300,0.990201109,0.009798891
2400,0.98919373,0.01080627
2500,0.98808538,0.01191462
