generation,stra.1,stra.2
init,0.368,0.632
0,0.368066073,0.631933927
1,0.368138109,0.631861891
2,0.368216646,0.631783354
3,0.368302273,0.631697727
4,0.368395631,0.631604369
5,0.36849742,0.63150258
6,0.368608404,0.631391596
7,0.368729415,0.631270585
8,0.368861362,0.631138638
9,0.369005236,0.630994764
10,0.369162121,0.630837879
11,0.369333196,0.630666804
12,0.369519752,0.630480248
13,0.369723196,0.630276804
14,0.369945065,0.630054935
15,0.370187036,0.629812964
16,0.370450943,0.629549057
17,0.370738787,0.629261213
18,0.371052754,0.628947246
19,0.371395235,0.628604765
20,0.371768841,0.628231159
21,0.372176427,0.627823573
22,0.372621113,0.627378887
23,0.373106315,0.626893685
24,0.373635766,0.626364234
25,0.374213554,0.625786446
26,0.374844152,0.625155848
27,0.375532458,0.624467542
28,0.376283839,0.623716161
29,0.377104174,0.622895826
30,0.377999908,0.622000092
31,0.378978112,0.621021888
32,0.380046542,0.619953458
33,0.381213712,0.618786288
34,0.382488973,0.617511027
35,0.383882601,0.616117399
36,0.385405893,0.614594107
37,0.387071276,0.612928724
38,0.388892428,0.611107572
39,0.390884412,0.609115588
40,0.393063825,0.606936175
41,0.395448963,0.604551037
42,0.398060009,0.601939991
43,0.400919231,0.599080769
44,0.404051215,0.595948785
45,0.407483103,0.592516897
46,0.411244875,0.588755125
47,0.415369632,0.584630368
48,0.419893918,0.580106082
49,0.424858054,0.575141946
50,0.430306475,0.569693525
51,0.436288085,0.563711915
52,0.442856583,0.557143417
53,0.45007075,0.54992925
54,0.457994668,0.542005332
55,0.466697795,0.533302205
56,0.476254849,0.523745151
57,0.486745383,0.513254617
58,0.498252928,0.501747072
59,0.510863528,0.489136472
60,0.524663448,0.475336552
61,0.539735814,0.460264186
62,0.556155891,0.443844109
63,0.573984735,0.426015265
64,0.593261019,0.406738981
65,0.613991024,0.386008976
66,0.636137106,0.363862894
67,0.659605481,0.340394519
68,0.684234843,0.315765157
69,0.709788101,0.290211899
70,0.735950082,0.264049918
71,0.762334098,0.237665902
72,0.788499385,0.211500615
73,0.813979389,0.186020611
74,0.838318091,0.161681909
75,0.86110873,0.13889127
76,0.882027837,0.117972163
77,0.900858099,0.099141901
78,0.917496351,0.082503649
79,0.931946791,0.068053209
80,0.944302879,0.055697121
81,0.954723107,0.045276893
82,0.963405795,0.036594205
83,0.97056674,0.02943326
84,0.97642177,0.02357823
85,0.981174711,0.018825289
86,0.985010214,0.014989786
87,0.988090437,0.011909563
88,0.990554429,0.009445571
89,0.992519259,0.007480741
90,0.994082082,0.005917918
91,0.995322637,0.004677363
92,0.996305789,0.003694211
93,0.997083949,0.002916051
94,0.997699233,0.002300767
95,0.99818534,0.00181466
96,0.998569146,0.001430854
97,0.998872027,0.001127973
98,0.999110951,8.89E-04
99,0.999299364,7.01E-04
100,0.999447907,5.52E-04
101,0.999564995,4.35E-04
102,0.999657275,3.43E-04
103,0.999729993,2.70E-04
104,0.999787291,2.13E-04
105,0.999832435,1.68E-04
106,0.999868002,1.32E-04
107,0.999896022,1.04E-04
108,0.999918095,8.19E-05
109,0.999935483,6.45E-05
110,0.99994918,5.08E-05
111,0.99995997,4.00E-05
112,0.999968469,3.15E-05
113,0.999975163,2.48E-05
114,0.999980437,1.96E-05
115,0.999984591,1.54E-05
116,0.999987862,1.21E-05
117,0.99999044,9.56E-06
118,0.999992469,7.53E-06
119,0.999994068,5.93E-06
120,0.999995328,4.67E-06
121,0.99999632,3.68E-06
122,0.999997101,2.90E-06
123,0.999997717,2.28E-06
124,0.999998202,1.80E-06
125,0.999998583,1.42E-06
126,0.999998884,1.12E-06
127,0.999999121,8.79E-07
128,0.999999308,6.92E-07
129,0.999999455,5.45E-07
130,0.999999571,4.29E-07
131,0.999999662,3.38E-07
132,0.999999734,2.66E-07
133,0.99999979,2.10E-07
134,0.999999835,1.65E-07
135,0.99999987,1.30E-07
136,0.999999897,1.03E-07
137,0.999999919,8.08E-08
138,0.999999936,6.36E-08
139,0.99999995,5.01E-08
