name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13787,stra.13788,stra.13790,stra.13905,stra.13906,stra.13908,stra.14026,stra.14147,stra.13321
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.53E-05,6.55E-05,6.42E-05,6.43E-05,6.34E-05,6.29E-05,6.20E-05,6.29E-05,6.29E-05,6.20E-05,6.14E-05,5.96E-05,7.63E-05
2,6.24E-05,6.27E-05,6.02E-05,6.03E-05,5.86E-05,5.76E-05,5.58E-05,5.78E-05,5.78E-05,5.60E-05,5.50E-05,5.18E-05,8.34E-05
3,5.96E-05,5.98E-05,5.64E-05,5.65E-05,5.39E-05,5.25E-05,4.98E-05,5.30E-05,5.29E-05,5.03E-05,4.91E-05,4.49E-05,8.91E-05
4,5.68E-05,5.70E-05,5.28E-05,5.28E-05,4.93E-05,4.75E-05,4.42E-05,4.85E-05,4.82E-05,4.49E-05,4.38E-05,3.87E-05,9.30E-05
5,5.42E-05,5.41E-05,4.94E-05,4.92E-05,4.49E-05,4.27E-05,3.88E-05,4.43E-05,4.39E-05,3.98E-05,3.90E-05,3.33E-05,9.48E-05
6,5.16E-05,5.14E-05,4.62E-05,4.57E-05,4.07E-05,3.82E-05,3.39E-05,4.05E-05,3.99E-05,3.52E-05,3.47E-05,2.86E-05,9.45E-05
7,4.91E-05,4.87E-05,4.31E-05,4.24E-05,3.67E-05,3.40E-05,2.93E-05,3.70E-05,3.61E-05,3.09E-05,3.08E-05,2.46E-05,9.23E-05
8,4.68E-05,4.60E-05,4.03E-05,3.93E-05,3.30E-05,3.01E-05,2.52E-05,3.38E-05,3.27E-05,2.70E-05,2.74E-05,2.11E-05,8.82E-05
9,4.46E-05,4.35E-05,3.77E-05,3.64E-05,2.95E-05,2.65E-05,2.15E-05,3.09E-05,2.95E-05,2.35E-05,2.44E-05,1.82E-05,8.27E-05
10,4.25E-05,4.11E-05,3.53E-05,3.37E-05,2.63E-05,2.32E-05,1.82E-05,2.84E-05,2.67E-05,2.04E-05,2.18E-05,1.57E-05,7.63E-05
11,4.06E-05,3.87E-05,3.31E-05,3.12E-05,2.34E-05,2.02E-05,1.53E-05,2.60E-05,2.41E-05,1.76E-05,1.95E-05,1.35E-05,6.92E-05
12,3.88E-05,3.65E-05,3.11E-05,2.89E-05,2.07E-05,1.75E-05,1.28E-05,2.40E-05,2.18E-05,1.52E-05,1.74E-05,1.17E-05,6.18E-05
13,3.71E-05,3.45E-05,2.93E-05,2.67E-05,1.83E-05,1.52E-05,1.07E-05,2.21E-05,1.97E-05,1.31E-05,1.57E-05,1.02E-05,5.45E-05
14,3.56E-05,3.26E-05,2.77E-05,2.48E-05,1.61E-05,1.31E-05,8.83E-06,2.05E-05,1.79E-05,1.12E-05,1.42E-05,8.96E-06,4.75E-05
15,3.43E-05,3.08E-05,2.62E-05,2.30E-05,1.42E-05,1.12E-05,7.27E-06,1.91E-05,1.62E-05,9.58E-06,1.29E-05,7.90E-06,4.10E-05
16,3.31E-05,2.91E-05,2.50E-05,2.14E-05,1.25E-05,9.62E-06,5.95E-06,1.78E-05,1.47E-05,8.19E-06,1.18E-05,7.01E-06,3.50E-05
17,3.20E-05,2.76E-05,2.38E-05,1.99E-05,1.10E-05,8.22E-06,4.86E-06,1.67E-05,1.34E-05,7.00E-06,1.08E-05,6.26E-06,2.96E-05
