generation,ave_total_payoff
0,2.249994596
1,2.207276401
2,2.163754102
3,2.119468105
4,2.074477642
5,2.028866628
6,1.982746451
7,1.936257077
8,1.889567737
9,1.842877495
10,1.796414821
11,1.750434763
12,1.705212539
13,1.66103331
14,1.618178992
15,1.576913816
16,1.537470666
17,1.50004003
18,1.464762788
19,1.431727303
20,1.400970577
21,1.372482691
22,1.346213528
23,1.322080694
24,1.299977721
25,1.279781833
26,1.261360801
27,1.244578658
28,1.229300196
29,1.215394306
30,1.202736296
31,1.191209364
32,1.18070539
33,1.171125215
34,1.162378564
35,1.154383699
36,1.147066934
37,1.14036204
38,1.134209627
39,1.128556511
40,1.123355107
41,1.118562852
42,1.114141672
43,1.110057495
44,1.106279807
45,1.102781257
46,1.099537306
47,1.096525903
48,1.093727217
49,1.091123383
50,1.088698283
51,1.08643736
52,1.084327442
53,1.082356597
54,1.080513997
55,1.078789802
56,1.077175061
57,1.075661614
58,1.074242019
59,1.072909473
60,1.071657755
61,1.070481165
62,1.069374476
63,1.068332889
64,1.067351993
65,1.066427728
66,1.065556357
67,1.064734432
68,1.063958772
69,1.06322644
70,1.06253472
71,1.0618811
72,1.061263255
73,1.06067903
74,1.06012643
75,1.059603602
76,1.059108831
77,1.058640521
78,1.058197194
79,1.057777475
80,1.05738009
81,1.057003853
82,1.056647666
83,1.056310506
84,1.055991428
85,1.055689552
86,1.055404065
87,1.055134213
88,1.054879302
89,1.054638688
90,1.054411779
91,1.054198033
92,1.053996951
93,1.053808081
94,1.05363101
95,1.053465368
96,1.053310822
97,1.053167079
98,1.053033882
99,1.05291101
100,1.05279828
101,1.052695543
102,1.052602689
103,1.052519641
104,1.052446363
105,1.052382854
106,1.052329155
107,1.052285347
108,1.052251555
109,1.052227949
110,1.052214751
111,1.052212232
112,1.052220724
113,1.052240617
114,1.052272374
115,1.052316532
116,1.052373711
117,1.052444627
118,1.052530101
119,1.052631074
120,1.052748621
121,1.052883975
122,1.053038546
123,1.053213948
124,1.053412035
125,1.053634938
126,1.053885112
127,1.054165398
128,1.054479086
129,1.05483001
130,1.055222646
131,1.055662252
132,1.056155029
133,1.056708331
134,1.057330928
135,1.058033349
136,1.058828309
137,1.059731287
138,1.060761263
139,1.061941714
140,1.063301937
141,1.064878855
142,1.066719489
143,1.068884404
144,1.071452567
145,1.074528287
146,1.078251301
147,1.082811608
148,1.088471641
149,1.095599836
150,1.10472203
151,1.116600706
152,1.132356909
153,1.153654521
154,1.182965014
155,1.223903012
156,1.281518057
157,1.362159238
158,1.472087958
159,1.613930643
160,1.781821632
161,1.95982867
162,2.128054226
163,2.272253686
164,2.387994382
165,2.477917585
166,2.547275532
167,2.601188614
168,2.643719114
169,2.677842978
170,2.70568477
171,2.728759908
172,2.748159917
173,2.764681667
174,2.778915238
175,2.791303757
176,2.802184559
177,2.811817887
178,2.820407147
179,2.828113341
180,2.835065486
181,2.841368172
182,2.847107132
183,2.852353363
184,2.857166219
185,2.861595751
186,2.865684506
187,2.869468908
188,2.872980349
189,2.876246045
190,2.879289719
191,2.882132156
192,2.884791645
193,2.887284351
194,2.889624616
195,2.89182521
196,2.893897542
197,2.895851836
198,2.897697284
199,2.899442169
200,2.901093977
201,2.902659489
202,2.904144864
203,2.905555705
204,2.906897123
205,2.908173785
206,2.909389969
207,2.910549593
208,2.911656259
209,2.912713283
210,2.91372372
211,2.914690388
212,2.915615897
213,2.916502658
214,2.917352909
215,2.918168727
216,2.918952041
217,2.919704647
218,2.920428217
219,2.921124311
220,2.921794384
221,2.922439797
222,2.923061823
223,2.923661652
224,2.924240402
225,2.924799119
226,2.925338788
227,2.925860332
228,2.926364619
229,2.926852468
230,2.927324647
231,2.927781883
232,2.928224861
233,2.928654225
234,2.929070586
235,2.929474522
236,2.929866576
237,2.930247264
238,2.930617076
239,2.930976474
240,2.931325897
241,2.93166576
242,2.931996458
243,2.932318366
244,2.93263184
245,2.932937219
246,2.933234823
247,2.93352496
248,2.933807919
249,2.93408398
250,2.934353405
251,2.934616446
252,2.934873344
253,2.935124327
254,2.935369614
255,2.935609413
256,2.935843923
257,2.936073334
258,2.936297828
259,2.936517579
260,2.936732753
261,2.936943509
262,2.937149998
263,2.937352367
264,2.937550754
265,2.937745294
266,2.937936114
267,2.938123337
268,2.93830708
269,2.938487456
270,2.938664574
271,2.938838537
272,2.939009444
273,2.939177392
274,2.939342472
275,2.939504773
276,2.93966438
277,2.939821373
278,2.939975832
279,2.940127832
280,2.940277445
281,2.940424741
282,2.940569788
283,2.940712649
284,2.940853388
285,2.940992064
286,2.941128736
287,2.941263458
288,2.941396284
289,2.941527266
290,2.941656454
291,2.941783897
292,2.94190964
293,2.942033728
294,2.942156204
295,2.942277111
296,2.942396488
297,2.942514374
298,2.942630808
299,2.942745824
300,2.942859459
301,2.942971746
302,2.943082718
303,2.943192406
304,2.943300841
305,2.943408054
306,2.943514071
307,2.943618922
308,2.943722633
309,2.94382523
310,2.943926738
311,2.944027181
312,2.944126583
313,2.944224968
314,2.944322356
315,2.944418769
316,2.944514229
317,2.944608756
318,2.944702368
319,2.944795085
320,2.944886925
321,2.944977906
322,2.945068045
323,2.94515736
324,2.945245865
325,2.945333578
326,2.945420513
327,2.945506685
328,2.94559211
329,2.945676799
330,2.945760769
331,2.945844031
332,2.945926598
333,2.946008484
334,2.9460897
335,2.946170258
336,2.946250169
337,2.946329445
338,2.946408097
339,2.946486135
340,2.946563569
341,2.94664041
342,2.946716667
343,2.946792349
344,2.946867467
345,2.946942028
346,2.947016042
347,2.947089518
348,2.947162463
349,2.947234885
350,2.947306793
351,2.947378194
352,2.947449096
353,2.947519506
354,2.947589431
355,2.947658878
356,2.947727854
357,2.947796365
358,2.947864418
359,2.947932019
360,2.947999174
361,2.94806589
362,2.948132172
363,2.948198025
364,2.948263456
365,2.94832847
366,2.948393072
367,2.948457267
368,2.948521061
369,2.948584458
370,2.948647463
371,2.948710081
372,2.948772316
373,2.948834174
374,2.948895658
375,2.948956772
376,2.949017522
377,2.949077911
378,2.949137943
379,2.949197623
380,2.949256953
381,2.949315939
382,2.949374582
383,2.949432888
384,2.94949086
385,2.949548501
386,2.949605815
387,2.949662805
388,2.949719474
389,2.949775825
390,2.949831862
391,2.949887588
392,2.949943005
393,2.949998118
394,2.950052928
395,2.950107438
396,2.950161652
397,2.950215572
398,2.9502692
399,2.95032254
400,2.950375594
401,2.950428364
402,2.950480853
403,2.950533064
404,2.950584999
405,2.95063666
406,2.95068805
407,2.95073917
408,2.950790024
409,2.950840613
410,2.950890939
411,2.950941005
412,2.950990813
413,2.951040365
414,2.951089662
415,2.951138707
416,2.951187503
417,2.951236049
418,2.95128435
419,2.951332406
420,2.951380219
421,2.951427792
422,2.951475125
423,2.951522222
424,2.951569082
425,2.951615709
426,2.951662104
427,2.951708268
428,2.951754204
429,2.951799912
430,2.951845394
431,2.951890653
432,2.951935688
433,2.951980503
434,2.952025099
435,2.952069476
436,2.952113636
437,2.952157582
438,2.952201314
439,2.952244833
440,2.952288142
441,2.952331241
442,2.952374132
443,2.952416816
444,2.952459294
445,2.952501569
446,2.95254364
447,2.95258551
448,2.952627179
449,2.952668649
450,2.952709921
451,2.952750997
452,2.952791877
453,2.952832562
454,2.952873055
455,2.952913355
456,2.952953465
457,2.952993384
458,2.953033116
459,2.95307266
460,2.953112017
461,2.953151189
462,2.953190177
463,2.953228982
464,2.953267605
465,2.953306047
466,2.953344309
467,2.953382391
468,2.953420296
469,2.953458024
470,2.953495576
471,2.953532954
472,2.953570157
473,2.953607187
474,2.953644045
475,2.953680733
476,2.95371725
477,2.953753598
478,2.953789778
479,2.95382579
480,2.953861636
481,2.953897317
482,2.953932833
483,2.953968185
484,2.954003375
485,2.954038402
486,2.954073269
487,2.954107975
488,2.954142523
489,2.954176911
490,2.954211142
491,2.954245217
492,2.954279135
493,2.954312899
494,2.954346508
495,2.954379963
496,2.954413267
497,2.954446418
498,2.954479418
499,2.954512268
500,2.954544969
550,2.956005649
600,2.957178361
650,2.95812996
700,2.95891306
750,2.959568295
800,2.960126266
850,2.960609521
900,2.961034409
