name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13905,stra.13906,stra.14026,stra.14147,stra.14512,stra.14518,stra.14641,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.53E-05,6.55E-05,6.42E-05,6.43E-05,6.29E-05,6.29E-05,6.14E-05,5.96E-05,5.07E-05,4.94E-05,4.60E-05,6.71E-05
2,6.24E-05,6.27E-05,6.02E-05,6.03E-05,5.78E-05,5.78E-05,5.50E-05,5.18E-05,3.69E-05,3.49E-05,3.01E-05,6.59E-05
3,5.96E-05,5.98E-05,5.64E-05,5.65E-05,5.30E-05,5.29E-05,4.91E-05,4.49E-05,2.64E-05,2.41E-05,1.91E-05,6.47E-05
4,5.68E-05,5.70E-05,5.28E-05,5.28E-05,4.85E-05,4.83E-05,4.38E-05,3.87E-05,1.86E-05,1.63E-05,1.18E-05,6.34E-05
5,5.42E-05,5.41E-05,4.94E-05,4.92E-05,4.43E-05,4.39E-05,3.90E-05,3.33E-05,1.28E-05,1.08E-05,7.08E-06,6.22E-05
6,5.16E-05,5.14E-05,4.62E-05,4.57E-05,4.05E-05,3.99E-05,3.47E-05,2.87E-05,8.72E-06,6.97E-06,4.13E-06,6.09E-05
7,4.91E-05,4.87E-05,4.31E-05,4.24E-05,3.70E-05,3.61E-05,3.08E-05,2.46E-05,5.84E-06,4.41E-06,2.34E-06,5.97E-05
8,4.68E-05,4.60E-05,4.03E-05,3.93E-05,3.38E-05,3.27E-05,2.74E-05,2.11E-05,3.85E-06,2.74E-06,1.29E-06,5.85E-05
9,4.46E-05,4.35E-05,3.77E-05,3.64E-05,3.10E-05,2.95E-05,2.44E-05,1.82E-05,2.51E-06,1.67E-06,6.96E-07,5.73E-05
10,4.25E-05,4.11E-05,3.53E-05,3.37E-05,2.84E-05,2.67E-05,2.18E-05,1.57E-05,1.62E-06,9.96E-07,3.66E-07,5.61E-05
