name,stra.13200,stra.13663,stra.13664,stra.13784,stra.13785,stra.13786,stra.13905,stra.13906,stra.14026,stra.14027,stra.14147,stra.14393,stra.14399,stra.14511,stra.14512,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,5.34E-05,6.53E-05,6.55E-05,6.42E-05,6.43E-05,6.39E-05,6.29E-05,6.29E-05,6.14E-05,6.14E-05,5.96E-05,5.34E-05,5.17E-05,5.11E-05,5.07E-05,6.71E-05
2,3.99E-05,6.24E-05,6.27E-05,6.02E-05,6.03E-05,5.96E-05,5.78E-05,5.78E-05,5.50E-05,5.49E-05,5.18E-05,4.11E-05,3.84E-05,3.75E-05,3.69E-05,6.59E-05
3,2.84E-05,5.96E-05,5.98E-05,5.64E-05,5.65E-05,5.53E-05,5.30E-05,5.29E-05,4.91E-05,4.89E-05,4.49E-05,3.12E-05,2.80E-05,2.71E-05,2.64E-05,6.47E-05
4,1.94E-05,5.68E-05,5.70E-05,5.28E-05,5.28E-05,5.11E-05,4.85E-05,4.83E-05,4.38E-05,4.34E-05,3.87E-05,2.33E-05,2.00E-05,1.93E-05,1.86E-05,6.34E-05
5,1.27E-05,5.42E-05,5.41E-05,4.94E-05,4.92E-05,4.71E-05,4.43E-05,4.39E-05,3.90E-05,3.84E-05,3.33E-05,1.72E-05,1.41E-05,1.35E-05,1.28E-05,6.22E-05
6,7.92E-06,5.16E-05,5.14E-05,4.62E-05,4.57E-05,4.33E-05,4.05E-05,3.99E-05,3.47E-05,3.39E-05,2.87E-05,1.25E-05,9.69E-06,9.34E-06,8.72E-06,6.09E-05
7,4.75E-06,4.91E-05,4.87E-05,4.31E-05,4.24E-05,3.96E-05,3.70E-05,3.61E-05,3.08E-05,2.98E-05,2.46E-05,8.94E-06,6.55E-06,6.38E-06,5.84E-06,5.97E-05
8,2.74E-06,4.68E-05,4.60E-05,4.03E-05,3.93E-05,3.62E-05,3.38E-05,3.27E-05,2.74E-05,2.62E-05,2.11E-05,6.33E-06,4.36E-06,4.30E-06,3.85E-06,5.85E-05
9,1.53E-06,4.46E-05,4.35E-05,3.77E-05,3.64E-05,3.29E-05,3.10E-05,2.95E-05,2.44E-05,2.30E-05,1.82E-05,4.43E-06,2.85E-06,2.88E-06,2.51E-06,5.73E-05
10,8.21E-07,4.25E-05,4.11E-05,3.53E-05,3.37E-05,2.99E-05,2.84E-05,2.67E-05,2.18E-05,2.01E-05,1.57E-05,3.07E-06,1.83E-06,1.91E-06,1.62E-06,5.61E-05
11,4.27E-07,4.06E-05,3.88E-05,3.31E-05,3.12E-05,2.71E-05,2.60E-05,2.41E-05,1.95E-05,1.77E-05,1.35E-05,2.11E-06,1.16E-06,1.26E-06,1.03E-06,5.49E-05
12,2.16E-07,3.88E-05,3.66E-05,3.11E-05,2.89E-05,2.45E-05,2.40E-05,2.18E-05,1.75E-05,1.55E-05,1.17E-05,1.43E-06,7.27E-07,8.24E-07,6.51E-07,5.39E-05
13,1.06E-07,3.72E-05,3.45E-05,2.93E-05,2.67E-05,2.22E-05,2.21E-05,1.97E-05,1.57E-05,1.36E-05,1.02E-05,9.65E-07,4.48E-07,5.39E-07,4.08E-07,5.28E-05
14,5.08E-08,3.57E-05,3.26E-05,2.77E-05,2.48E-05,2.01E-05,2.05E-05,1.79E-05,1.42E-05,1.20E-05,8.97E-06,6.46E-07,2.73E-07,3.51E-07,2.55E-07,5.19E-05
15,2.37E-08,3.43E-05,3.08E-05,2.63E-05,2.30E-05,1.81E-05,1.91E-05,1.62E-05,1.29E-05,1.06E-05,7.90E-06,4.30E-07,1.64E-07,2.29E-07,1.58E-07,5.11E-05
16,1.08E-08,3.31E-05,2.91E-05,2.50E-05,2.14E-05,1.64E-05,1.78E-05,1.48E-05,1.18E-05,9.36E-06,7.01E-06,2.84E-07,9.80E-08,1.50E-07,9.77E-08,5.03E-05
17,4.86E-09,3.20E-05,2.76E-05,2.38E-05,1.99E-05,1.48E-05,1.67E-05,1.35E-05,1.08E-05,8.30E-06,6.26E-06,1.87E-07,5.79E-08,9.81E-08,6.02E-08,4.96E-05
18,2.13E-09,3.11E-05,2.62E-05,2.29E-05,1.86E-05,1.34E-05,1.58E-05,1.23E-05,1.00E-05,7.40E-06,5.64E-06,1.23E-07,3.39E-08,6.44E-08,3.71E-08,4.90E-05
19,9.22E-10,3.03E-05,2.49E-05,2.20E-05,1.74E-05,1.21E-05,1.50E-05,1.13E-05,9.32E-06,6.61E-06,5.11E-06,8.04E-08,1.97E-08,4.25E-08,2.28E-08,4.86E-05
20,3.92E-10,2.96E-05,2.37E-05,2.12E-05,1.63E-05,1.10E-05,1.43E-05,1.04E-05,8.72E-06,5.93E-06,4.66E-06,5.25E-08,1.14E-08,2.81E-08,1.40E-08,4.82E-05
21,1.64E-10,2.90E-05,2.26E-05,2.06E-05,1.54E-05,9.93E-06,1.36E-05,9.58E-06,8.21E-06,5.34E-06,4.29E-06,3.42E-08,6.54E-09,1.87E-08,8.63E-09,4.79E-05
22,6.79E-11,2.85E-05,2.17E-05,2.01E-05,1.45E-05,9.02E-06,1.31E-05,8.87E-06,7.77E-06,4.83E-06,3.97E-06,2.22E-08,3.74E-09,1.25E-08,5.32E-09,4.78E-05
23,2.78E-11,2.81E-05,2.07E-05,1.96E-05,1.37E-05,8.19E-06,1.27E-05,8.24E-06,7.39E-06,4.38E-06,3.70E-06,1.44E-08,2.13E-09,8.42E-09,3.28E-09,4.77E-05
24,1.12E-11,2.78E-05,1.99E-05,1.92E-05,1.30E-05,7.45E-06,1.23E-05,7.67E-06,7.07E-06,3.98E-06,3.47E-06,9.36E-09,1.20E-09,5.69E-09,2.03E-09,4.77E-05
25,4.50E-12,2.76E-05,1.91E-05,1.89E-05,1.23E-05,6.79E-06,1.20E-05,7.16E-06,6.80E-06,3.64E-06,3.28E-06,6.07E-09,6.80E-10,3.86E-09,1.25E-09,4.78E-05
26,1.78E-12,2.74E-05,1.84E-05,1.87E-05,1.17E-05,6.19E-06,1.17E-05,6.70E-06,6.57E-06,3.33E-06,3.11E-06,3.93E-09,3.82E-10,2.64E-09,7.76E-10,4.80E-05
27,7.03E-13,2.74E-05,1.78E-05,1.85E-05,1.12E-05,5.65E-06,1.15E-05,6.29E-06,6.38E-06,3.06E-06,2.97E-06,2.55E-09,2.15E-10,1.81E-09,4.82E-10,4.83E-05
28,2.75E-13,2.73E-05,1.72E-05,1.84E-05,1.06E-05,5.16E-06,1.14E-05,5.91E-06,6.21E-06,2.82E-06,2.85E-06,1.65E-09,1.20E-10,1.25E-09,2.99E-10,4.86E-05
29,1.07E-13,2.74E-05,1.66E-05,1.83E-05,1.02E-05,4.72E-06,1.12E-05,5.57E-06,6.08E-06,2.60E-06,2.75E-06,1.07E-09,6.71E-11,8.63E-10,1.86E-10,4.90E-05
30,4.11E-14,2.75E-05,1.61E-05,1.83E-05,9.76E-06,4.32E-06,1.11E-05,5.26E-06,5.96E-06,2.41E-06,2.66E-06,6.90E-10,3.74E-11,6.00E-10,1.16E-10,4.94E-05
