Strategy_Type,p1,p2,p3,p4
stra.1,0.01,0.01,0.01,0.01
stra.2,0.01,0.01,0.01,0.1
stra.3,0.01,0.01,0.01,0.2
stra.4,0.01,0.01,0.01,0.3
stra.5,0.01,0.01,0.01,0.4
stra.6,0.01,0.01,0.01,0.5
stra.7,0.01,0.01,0.01,0.6
stra.8,0.01,0.01,0.01,0.7
stra.9,0.01,0.01,0.01,0.8
stra.10,0.01,0.01,0.01,0.9
stra.11,0.01,0.01,0.01,0.99
stra.12,0.01,0.01,0.1,0.01
stra.13,0.01,0.01,0.1,0.1
stra.14,0.01,0.01,0.1,0.2
stra.15,0.01,0.01,0.1,0.3
stra.16,0.01,0.01,0.1,0.4
stra.17,0.01,0.01,0.1,0.5
stra.18,0.01,0.01,0.1,0.6
stra.19,0.01,0.01,0.1,0.7
stra.20,0.01,0.01,0.1,0.8
stra.21,0.01,0.01,0.1,0.9
stra.22,0.01,0.01,0.1,0.99
stra.23,0.01,0.01,0.2,0.01
stra.24,0.01,0.01,0.2,0.1
stra.25,0.01,0.01,0.2,0.2
stra.26,0.01,0.01,0.2,0.3
stra.27,0.01,0.01,0.2,0.4
stra.28,0.01,0.01,0.2,0.5
stra.29,0.01,0.01,0.2,0.6
stra.30,0.01,0.01,0.2,0.7
stra.31,0.01,0.01,0.2,0.8
stra.32,0.01,0.01,0.2,0.9
stra.33,0.01,0.01,0.2,0.99
stra.34,0.01,0.01,0.3,0.01
stra.35,0.01,0.01,0.3,0.1
stra.36,0.01,0.01,0.3,0.2
stra.37,0.01,0.01,0.3,0.3
stra.38,0.01,0.01,0.3,0.4
stra.39,0.01,0.01,0.3,0.5
stra.40,0.01,0.01,0.3,0.6
stra.41,0.01,0.01,0.3,0.7
stra.42,0.01,0.01,0.3,0.8
stra.43,0.01,0.01,0.3,0.9
stra.44,0.01,0.01,0.3,0.99
stra.45,0.01,0.01,0.4,0.01
stra.46,0.01,0.01,0.4,0.1
stra.47,0.01,0.01,0.4,0.2
stra.48,0.01,0.01,0.4,0.3
stra.49,0.01,0.01,0.4,0.4
stra.50,0.01,0.01,0.4,0.5
stra.51,0.01,0.01,0.4,0.6
stra.52,0.01,0.01,0.4,0.7
stra.53,0.01,0.01,0.4,0.8
stra.54,0.01,0.01,0.4,0.9
stra.55,0.01,0.01,0.4,0.99
stra.56,0.01,0.01,0.5,0.01
stra.57,0.01,0.01,0.5,0.1
stra.58,0.01,0.01,0.5,0.2
stra.59,0.01,0.01,0.5,0.3
stra.60,0.01,0.01,0.5,0.4
stra.61,0.01,0.01,0.5,0.5
stra.62,0.01,0.01,0.5,0.6
stra.63,0.01,0.01,0.5,0.7
stra.64,0.01,0.01,0.5,0.8
stra.65,0.01,0.01,0.5,0.9
stra.66,0.01,0.01,0.5,0.99
stra.67,0.01,0.01,0.6,0.01
stra.68,0.01,0.01,0.6,0.1
stra.69,0.01,0.01,0.6,0.2
stra.70,0.01,0.01,0.6,0.3
stra.71,0.01,0.01,0.6,0.4
stra.72,0.01,0.01,0.6,0.5
stra.73,0.01,0.01,0.6,0.6
stra.74,0.01,0.01,0.6,0.7
stra.75,0.01,0.01,0.6,0.8
