name,stra.13321,stra.14642
init,6.829668078131402E-5,6.829668078131402E-5
0,7.61466098950254E-5,6.638900833952612E-5
1,8.228917486418503E-5,6.448887164255453E-5
2,8.610430987980343E-5,6.258637946596027E-5
3,8.722315798765936E-5,6.067780347411892E-5
4,8.55995385236113E-5,5.876529721956336E-5
5,8.15029905332573E-5,5.6856007030900045E-5
6,7.544177982005827E-5,5.4960968284429026E-5
7,6.804814517013735E-5,5.3093986456749315E-5
8,5.9963807880700585E-5,5.127053194093066E-5
9,5.1753256012112955E-5,4.950662024525201E-5
10,4.385543710833627E-5,4.781769005087079E-5
11,3.6570511381272774E-5,4.621756022685251E-5
12,3.0071174049838246E-5,4.471758171061972E-5
13,2.442699479261382E-5,4.332608112204895E-5
14,1.96325860176636E-5,4.204813663673365E-5
15,1.563378721913366E-5,4.0885663318952065E-5
16,1.2349036462843188E-5,3.9837738768558045E-5
17,9.685182510138499E-6,3.890107990490662E-5
18,7.548184235672267E-6,3.807058485793366E-5
19,5.849668799698235E-6,3.733987121042655E-5
20,4.510425854924422E-6,3.670176408153601E-5
21,3.461802464004529E-6,3.61487084372178E-5
22,2.645766371937034E-6,3.567309647106976E-5
23,2.0142002938161017E-6,3.526751220057071E-5
24,1.5278129122170292E-6,3.4924902139205407E-5
25,1.1549147687630998E-6,3.463868409041548E-5
26,8.702078925022623E-7,3.4402806856103225E-5
27,6.536702849910257E-7,3.4211772889152074E-5
28,4.895725820263975E-7,3.406063435428991E-5
29,3.656374059863379E-7,3.39449711895339E-5
30,2.7233660549592454E-7,3.3860857896754556E-5
31,2.023136967755347E-7,3.3804824111915974E-5
32,1.499155433707148E-7,3.3773812592891084E-5
33,1.108167424060397E-7,3.3765137131928696E-5
34,8.172110103128147E-8,3.377644203106071E-5
35,6.012622176094232E-8,3.3805664134825794E-5
36,4.413911096738693E-8,3.38509979533352E-5
37,3.233261898746862E-8,3.391086408949613E-5
38,2.363427497353664E-8,3.3983880971917185E-5
39,1.7240632005014773E-8,3.406883976084055E-5
40,1.255156963341442E-8,3.416468221579421E-5
41,9.120118217644194E-9,3.427048127338809E-5
42,6.614290965069982E-9,3.438542406917293E-5
43,4.788159685728843E-9,3.4508797139608136E-5
44,3.4600141419818947E-9,3.463997355252621E-5
45,2.4959265622654757E-9,3.477840173260544E-5
46,1.7974240509600802E-9,3.492359576924811E-5
47,1.2922711261392484E-9,3.507512701597714E-5
48,9.275984659045913E-10,3.523261681174634E-5
49,6.647954857456906E-10,3.5395730174676055E-5
50,4.757245603059731E-10,3.556417033727112E-5
51,3.399224314852411E-10,3.5737674008978404E-5
52,2.425367486938877E-10,3.59160072669521E-5
53,1.7280844798780868E-10,3.609896198918907E-5
54,1.2295828250953096E-10,3.6286352755862E-5
