name,stra.14027,stra.14031,stra.14032,stra.14148,stra.14149,stra.14151,stra.14152,stra.14153,stra.14269,stra.14397,stra.14399,stra.14512,stra.14632,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.40E-05,6.28E-05,6.24E-05,6.26E-05,6.23E-05,6.16E-05,6.13E-05,6.10E-05,6.08E-05,5.67E-05,5.64E-05,5.53E-05,5.14E-05,6.78E-05
2,5.98E-05,5.74E-05,5.68E-05,5.71E-05,5.66E-05,5.53E-05,5.47E-05,5.41E-05,5.39E-05,4.66E-05,4.60E-05,4.42E-05,3.80E-05,6.73E-05
3,5.58E-05,5.22E-05,5.13E-05,5.20E-05,5.12E-05,4.94E-05,4.85E-05,4.77E-05,4.75E-05,3.79E-05,3.71E-05,3.49E-05,2.76E-05,6.68E-05
4,5.20E-05,4.73E-05,4.62E-05,4.72E-05,4.62E-05,4.38E-05,4.27E-05,4.17E-05,4.17E-05,3.04E-05,2.96E-05,2.73E-05,1.96E-05,6.63E-05
5,4.83E-05,4.26E-05,4.13E-05,4.27E-05,4.14E-05,3.87E-05,3.74E-05,3.63E-05,3.65E-05,2.42E-05,2.33E-05,2.11E-05,1.37E-05,6.59E-05
6,4.48E-05,3.82E-05,3.67E-05,3.85E-05,3.71E-05,3.40E-05,3.26E-05,3.13E-05,3.18E-05,1.90E-05,1.81E-05,1.61E-05,9.44E-06,6.55E-05
7,4.15E-05,3.41E-05,3.25E-05,3.47E-05,3.31E-05,2.97E-05,2.82E-05,2.69E-05,2.76E-05,1.48E-05,1.40E-05,1.22E-05,6.37E-06,6.50E-05
8,3.84E-05,3.03E-05,2.86E-05,3.12E-05,2.94E-05,2.58E-05,2.43E-05,2.30E-05,2.39E-05,1.14E-05,1.06E-05,9.12E-06,4.23E-06,6.47E-05
9,3.55E-05,2.68E-05,2.50E-05,2.81E-05,2.61E-05,2.24E-05,2.08E-05,1.95E-05,2.07E-05,8.69E-06,8.02E-06,6.76E-06,2.76E-06,6.43E-05
10,3.28E-05,2.36E-05,2.18E-05,2.52E-05,2.31E-05,1.93E-05,1.78E-05,1.64E-05,1.79E-05,6.56E-06,5.99E-06,4.97E-06,1.77E-06,6.41E-05
