name,stra.14151,stra.14152,stra.14153,stra.14269,stra.14392,stra.14394,stra.14511,stra.14517,stra.14520,stra.14642,stra.13321
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.21E-05,6.17E-05,6.14E-05,6.12E-05,5.85E-05,5.79E-05,5.61E-05,5.49E-05,5.46E-05,6.79E-05,7.64E-05
2,5.61E-05,5.55E-05,5.49E-05,5.46E-05,4.96E-05,4.87E-05,4.55E-05,4.36E-05,4.31E-05,6.75E-05,8.44E-05
3,5.05E-05,4.96E-05,4.88E-05,4.86E-05,4.18E-05,4.06E-05,3.66E-05,3.42E-05,3.35E-05,6.71E-05,9.19E-05
4,4.52E-05,4.41E-05,4.31E-05,4.30E-05,3.49E-05,3.35E-05,2.92E-05,2.65E-05,2.57E-05,6.67E-05,9.87E-05
5,4.02E-05,3.90E-05,3.78E-05,3.79E-05,2.90E-05,2.74E-05,2.30E-05,2.02E-05,1.95E-05,6.64E-05,1.05E-04
6,3.56E-05,3.43E-05,3.30E-05,3.33E-05,2.38E-05,2.22E-05,1.80E-05,1.52E-05,1.46E-05,6.60E-05,1.09E-04
7,3.14E-05,3.00E-05,2.87E-05,2.92E-05,1.95E-05,1.78E-05,1.39E-05,1.14E-05,1.07E-05,6.57E-05,1.13E-04
8,2.76E-05,2.61E-05,2.47E-05,2.55E-05,1.58E-05,1.42E-05,1.07E-05,8.35E-06,7.81E-06,6.55E-05,1.14E-04
9,2.42E-05,2.26E-05,2.12E-05,2.23E-05,1.27E-05,1.12E-05,8.17E-06,6.07E-06,5.62E-06,6.53E-05,1.15E-04
10,2.11E-05,1.95E-05,1.81E-05,1.94E-05,1.02E-05,8.83E-06,6.19E-06,4.37E-06,3.99E-06,6.51E-05,1.14E-04
11,1.83E-05,1.68E-05,1.54E-05,1.69E-05,8.15E-06,6.89E-06,4.67E-06,3.11E-06,2.80E-06,6.50E-05,1.12E-04
12,1.59E-05,1.44E-05,1.31E-05,1.47E-05,6.47E-06,5.34E-06,3.51E-06,2.19E-06,1.95E-06,6.50E-05,1.09E-04
13,1.37E-05,1.22E-05,1.10E-05,1.28E-05,5.12E-06,4.11E-06,2.63E-06,1.53E-06,1.34E-06,6.51E-05,1.05E-04
14,1.18E-05,1.04E-05,9.26E-06,1.12E-05,4.04E-06,3.15E-06,1.96E-06,1.06E-06,9.15E-07,6.52E-05,1.01E-04
15,1.02E-05,8.85E-06,7.76E-06,9.77E-06,3.17E-06,2.41E-06,1.46E-06,7.27E-07,6.19E-07,6.55E-05,9.56E-05
16,8.78E-06,7.50E-06,6.49E-06,8.56E-06,2.49E-06,1.83E-06,1.09E-06,4.96E-07,4.16E-07,6.59E-05,9.02E-05
17,7.55E-06,6.35E-06,5.41E-06,7.53E-06,1.96E-06,1.39E-06,8.15E-07,3.37E-07,2.78E-07,6.64E-05,8.45E-05
18,6.50E-06,5.37E-06,4.51E-06,6.65E-06,1.53E-06,1.05E-06,6.10E-07,2.28E-07,1.85E-07,6.71E-05,7.88E-05
19,5.59E-06,4.54E-06,3.75E-06,5.90E-06,1.20E-06,7.95E-07,4.58E-07,1.54E-07,1.22E-07,6.80E-05,7.30E-05
20,4.82E-06,3.84E-06,3.13E-06,5.26E-06,9.47E-07,6.01E-07,3.45E-07,1.03E-07,8.06E-08,6.90E-05,6.75E-05
21,4.16E-06,3.25E-06,2.60E-06,4.71E-06,7.46E-07,4.54E-07,2.62E-07,6.93E-08,5.31E-08,7.02E-05,6.21E-05
22,3.60E-06,2.76E-06,2.17E-06,4.25E-06,5.89E-07,3.44E-07,1.99E-07,4.65E-08,3.50E-08,7.17E-05,5.69E-05
23,3.12E-06,2.34E-06,1.81E-06,3.86E-06,4.67E-07,2.61E-07,1.53E-07,3.12E-08,2.30E-08,7.34E-05,5.21E-05
24,2.71E-06,2.00E-06,1.51E-06,3.53E-06,3.72E-07,1.98E-07,1.18E-07,2.10E-08,1.52E-08,7.54E-05,4.75E-05
25,2.37E-06,1.71E-06,1.27E-06,3.25E-06,2.97E-07,1.51E-07,9.23E-08,1.42E-08,1.00E-08,7.77E-05,4.33E-05
26,2.08E-06,1.46E-06,1.07E-06,3.01E-06,2.39E-07,1.16E-07,7.25E-08,9.60E-09,6.65E-09,8.02E-05,3.94E-05
27,1.83E-06,1.26E-06,9.03E-07,2.82E-06,1.93E-07,8.90E-08,5.75E-08,6.53E-09,4.43E-09,8.32E-05,3.58E-05
28,1.62E-06,1.09E-06,7.66E-07,2.65E-06,1.57E-07,6.88E-08,4.61E-08,4.47E-09,2.96E-09,8.65E-05,3.25E-05
29,1.44E-06,9.46E-07,6.53E-07,2.52E-06,1.29E-07,5.35E-08,3.72E-08,3.08E-09,2.00E-09,9.02E-05,2.95E-05
30,1.29E-06,8.27E-07,5.60E-07,2.41E-06,1.06E-07,4.19E-08,3.04E-08,2.13E-09,1.36E-09,9.44E-05,2.69E-05
31,1.16E-06,7.27E-07,4.82E-07,2.32E-06,8.82E-08,3.31E-08,2.51E-08,1.49E-09,9.28E-10,9.91E-05,2.44E-05
32,1.05E-06,6.44E-07,4.18E-07,2.26E-06,7.39E-08,2.63E-08,2.09E-08,1.05E-09,6.40E-10,0.000104301,2.23E-05
33,9.56E-07,5.74E-07,3.66E-07,2.21E-06,6.24E-08,2.11E-08,1.76E-08,7.50E-10,4.47E-10,0.000110157,2.04E-05
34,8.79E-07,5.15E-07,3.22E-07,2.19E-06,5.33E-08,1.70E-08,1.50E-08,5.40E-10,3.15E-10,0.000116709,1.86E-05
35,8.14E-07,4.66E-07,2.86E-07,2.18E-06,4.59E-08,1.39E-08,1.29E-08,3.93E-10,2.25E-10,0.000124045,1.71E-05
36,7.61E-07,4.26E-07,2.56E-07,2.19E-06,3.99E-08,1.15E-08,1.13E-08,2.90E-10,1.62E-10,0.000132272,1.58E-05
37,7.18E-07,3.93E-07,2.32E-07,2.23E-06,3.51E-08,9.62E-09,9.98E-09,2.17E-10,1.19E-10,0.000141515,1.46E-05
