name,stra.14151,stra.14152,stra.14153,stra.14154,stra.13321,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.21E-05,6.18E-05,6.15E-05,6.12E-05,7.64E-05,6.79E-05
2,5.62E-05,5.56E-05,5.50E-05,5.45E-05,8.44E-05,6.75E-05
3,5.06E-05,4.98E-05,4.90E-05,4.82E-05,9.20E-05,6.71E-05
4,4.53E-05,4.43E-05,4.33E-05,4.24E-05,9.88E-05,6.68E-05
5,4.04E-05,3.92E-05,3.81E-05,3.70E-05,1.05E-04,6.64E-05
6,3.59E-05,3.45E-05,3.33E-05,3.21E-05,1.09E-04,6.61E-05
7,3.17E-05,3.02E-05,2.89E-05,2.77E-05,1.13E-04,6.58E-05
8,2.79E-05,2.64E-05,2.50E-05,2.38E-05,1.15E-04,6.56E-05
9,2.44E-05,2.29E-05,2.15E-05,2.03E-05,1.16E-04,6.54E-05
10,2.13E-05,1.98E-05,1.84E-05,1.72E-05,1.15E-04,6.53E-05
11,1.86E-05,1.70E-05,1.57E-05,1.45E-05,1.13E-04,6.52E-05
12,1.61E-05,1.46E-05,1.33E-05,1.22E-05,1.10E-04,6.52E-05
13,1.40E-05,1.25E-05,1.12E-05,1.02E-05,1.06E-04,6.53E-05
14,1.21E-05,1.06E-05,9.46E-06,8.48E-06,1.02E-04,6.55E-05
15,1.04E-05,9.05E-06,7.94E-06,7.04E-06,9.68E-05,6.58E-05
16,8.99E-06,7.69E-06,6.66E-06,5.83E-06,9.15E-05,6.62E-05
17,7.75E-06,6.52E-06,5.57E-06,4.81E-06,8.59E-05,6.68E-05
18,6.68E-06,5.53E-06,4.65E-06,3.97E-06,8.02E-05,6.75E-05
19,5.76E-06,4.68E-06,3.88E-06,3.27E-06,7.45E-05,6.83E-05
20,4.97E-06,3.97E-06,3.24E-06,2.69E-06,6.90E-05,6.94E-05
21,4.30E-06,3.37E-06,2.70E-06,2.21E-06,6.36E-05,7.07E-05
22,3.73E-06,2.87E-06,2.26E-06,1.82E-06,5.84E-05,7.22E-05
23,3.24E-06,2.44E-06,1.89E-06,1.50E-06,5.36E-05,7.40E-05
24,2.83E-06,2.09E-06,1.59E-06,1.24E-06,4.90E-05,7.60E-05
25,2.47E-06,1.79E-06,1.34E-06,1.03E-06,4.47E-05,7.83E-05
26,2.17E-06,1.54E-06,1.13E-06,8.53E-07,4.08E-05,8.10E-05
27,1.92E-06,1.33E-06,9.56E-07,7.11E-07,3.72E-05,8.40E-05
28,1.70E-06,1.15E-06,8.14E-07,5.95E-07,3.39E-05,8.74E-05
29,1.52E-06,1.01E-06,6.97E-07,5.01E-07,3.09E-05,9.13E-05
30,1.36E-06,8.83E-07,5.99E-07,4.24E-07,2.82E-05,9.56E-05
31,1.23E-06,7.79E-07,5.19E-07,3.61E-07,2.58E-05,1.00E-04
32,1.12E-06,6.93E-07,4.53E-07,3.09E-07,2.36E-05,1.06E-04
33,1.03E-06,6.20E-07,3.97E-07,2.67E-07,2.16E-05,1.12E-04
34,9.49E-07,5.60E-07,3.52E-07,2.33E-07,1.99E-05,1.19E-04
