name,stra.13320,stra.13321,stra.13463,stra.13563,stra.13682,stra.13695,stra.13926,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,7.74E-05,7.64E-05,7.14E-05,7.51E-05,7.63E-05,7.07E-05,7.17E-05,6.79E-05
2,8.67E-05,8.45E-05,7.40E-05,8.16E-05,8.42E-05,7.24E-05,7.41E-05,6.76E-05
3,9.59E-05,9.22E-05,7.62E-05,8.73E-05,9.17E-05,7.35E-05,7.55E-05,6.73E-05
4,0.000104755,9.92E-05,7.78E-05,9.22E-05,9.86E-05,7.37E-05,7.56E-05,6.70E-05
5,0.000112943,0.000105347,7.88E-05,9.61E-05,0.00010458,7.31E-05,7.46E-05,6.67E-05
6,0.000120216,0.00011041,7.91E-05,9.87E-05,0.00010949,7.17E-05,7.25E-05,6.65E-05
7,0.000126359,0.000114237,7.89E-05,1.00E-04,0.000113144,6.97E-05,6.94E-05,6.63E-05
8,0.000131215,0.000116749,7.80E-05,0.000100033,0.000115452,6.70E-05,6.55E-05,6.61E-05
9,0.00013469,0.000117935,7.66E-05,9.89E-05,0.000116393,6.38E-05,6.10E-05,6.60E-05
10,0.000136761,0.000117841,7.46E-05,9.67E-05,0.00011601,6.02E-05,5.60E-05,6.60E-05
11,0.00013746,0.000116566,7.23E-05,9.35E-05,0.000114402,5.63E-05,5.09E-05,6.60E-05
12,0.000136868,0.000114238,6.95E-05,8.96E-05,0.000111705,5.23E-05,4.58E-05,6.61E-05
13,0.000135105,0.000111012,6.65E-05,8.51E-05,0.000108085,4.82E-05,4.08E-05,6.63E-05
14,0.000132313,0.000107047,6.33E-05,8.02E-05,0.000103716,4.42E-05,3.60E-05,6.66E-05
15,0.000128648,0.000102507,5.99E-05,7.51E-05,9.88E-05,4.02E-05,3.15E-05,6.70E-05
16,0.00012427,9.75E-05,5.65E-05,6.98E-05,9.34E-05,3.64E-05,2.74E-05,6.75E-05
17,0.000119337,9.23E-05,5.30E-05,6.46E-05,8.79E-05,3.28E-05,2.37E-05,6.82E-05
18,0.000113999,8.69E-05,4.96E-05,5.95E-05,8.22E-05,2.95E-05,2.04E-05,6.91E-05
19,0.000108393,8.15E-05,4.62E-05,5.45E-05,7.65E-05,2.64E-05,1.75E-05,7.01E-05
20,0.000102643,7.61E-05,4.30E-05,4.98E-05,7.09E-05,2.36E-05,1.49E-05,7.14E-05
21,9.69E-05,7.08E-05,3.99E-05,4.54E-05,6.56E-05,2.10E-05,1.27E-05,7.28E-05
22,9.11E-05,6.57E-05,3.70E-05,4.13E-05,6.04E-05,1.87E-05,1.08E-05,7.46E-05
23,8.55E-05,6.09E-05,3.43E-05,3.75E-05,5.56E-05,1.66E-05,9.19E-06,7.66E-05
24,8.01E-05,5.63E-05,3.17E-05,3.40E-05,5.11E-05,1.47E-05,7.80E-06,7.89E-05
25,7.50E-05,5.20E-05,2.94E-05,3.08E-05,4.69E-05,1.31E-05,6.63E-06,8.15E-05
26,7.01E-05,4.81E-05,2.72E-05,2.80E-05,4.31E-05,1.17E-05,5.64E-06,8.46E-05
27,6.55E-05,4.44E-05,2.53E-05,2.54E-05,3.96E-05,1.04E-05,4.81E-06,8.80E-05
28,6.12E-05,4.10E-05,2.35E-05,2.31E-05,3.65E-05,9.29E-06,4.11E-06,9.19E-05
29,5.73E-05,3.79E-05,2.19E-05,2.11E-05,3.37E-05,8.34E-06,3.53E-06,9.63E-05
30,5.37E-05,3.52E-05,2.05E-05,1.93E-05,3.12E-05,7.51E-06,3.04E-06,1.01E-04
31,5.05E-05,3.27E-05,1.92E-05,1.77E-05,2.90E-05,6.80E-06,2.64E-06,1.07E-04
32,4.75E-05,3.05E-05,1.81E-05,1.64E-05,2.70E-05,6.18E-06,2.30E-06,1.13E-04
33,4.49E-05,2.85E-05,1.72E-05,1.52E-05,2.54E-05,5.67E-06,2.03E-06,1.21E-04
34,4.26E-05,2.68E-05,1.64E-05,1.42E-05,2.39E-05,5.23E-06,1.80E-06,1.29E-04
35,4.06E-05,2.53E-05,1.57E-05,1.33E-05,2.28E-05,4.86E-06,1.61E-06,1.38E-04
36,3.90E-05,2.40E-05,1.52E-05,1.26E-05,2.18E-05,4.57E-06,1.45E-06,1.49E-04
37,3.76E-05,2.30E-05,1.48E-05,1.21E-05,2.11E-05,4.34E-06,1.33E-06,1.61E-04
38,3.66E-05,2.22E-05,1.46E-05,1.17E-05,2.06E-05,4.16E-06,1.23E-06,1.74E-04
39,3.60E-05,2.16E-05,1.46E-05,1.14E-05,2.04E-05,4.05E-06,1.16E-06,1.90E-04
40,3.57E-05,2.13E-05,1.47E-05,1.14E-05,2.04E-05,4.00E-06,1.11E-06,2.08E-04
41,3.58E-05,2.12E-05,1.51E-05,1.14E-05,2.07E-05,4.01E-06,1.08E-06,2.29E-04
42,3.63E-05,2.14E-05,1.57E-05,1.17E-05,2.14E-05,4.10E-06,1.07E-06,2.54E-04
43,3.75E-05,2.20E-05,1.66E-05,1.22E-05,2.25E-05,4.27E-06,1.09E-06,2.83E-04
44,3.92E-05,2.29E-05,1.78E-05,1.29E-05,2.41E-05,4.55E-06,1.13E-06,3.17E-04
45,4.18E-05,2.43E-05,1.96E-05,1.40E-05,2.64E-05,4.95E-06,1.20E-06,3.56E-04
46,4.53E-05,2.62E-05,2.20E-05,1.55E-05,2.95E-05,5.52E-06,1.32E-06,4.03E-04
47,5.00E-05,2.89E-05,2.52E-05,1.76E-05,3.37E-05,6.30E-06,1.48E-06,4.57E-04
48,5.62E-05,3.24E-05,2.95E-05,2.04E-05,3.94E-05,7.36E-06,1.71E-06,5.19E-04
49,6.40E-05,3.69E-05,3.50E-05,2.41E-05,4.67E-05,8.78E-06,2.01E-06,5.87E-04
50,7.36E-05,4.26E-05,4.21E-05,2.88E-05,5.62E-05,1.06E-05,2.41E-06,6.60E-04
51,8.50E-05,4.92E-05,5.08E-05,3.47E-05,6.80E-05,1.29E-05,2.92E-06,7.31E-04
52,9.78E-05,5.68E-05,6.12E-05,4.17E-05,8.20E-05,1.58E-05,3.54E-06,7.96E-04
53,0.000111361,6.49E-05,7.30E-05,4.97E-05,9.78E-05,1.90E-05,4.27E-06,8.47E-04
54,0.000124935,7.31E-05,8.56E-05,5.83E-05,0.000115016,2.26E-05,5.07E-06,8.80E-04
55,0.000137872,8.10E-05,9.87E-05,6.72E-05,0.000132839,2.64E-05,5.92E-06,8.94E-04
56,0.000149765,8.84E-05,0.000111778,7.63E-05,0.000150783,3.04E-05,6.80E-06,8.92E-04
57,0.000160465,9.52E-05,0.000124671,8.52E-05,0.00016852,3.44E-05,7.70E-06,8.76E-04
58,0.00017,0.00010134,0.000137254,9.40E-05,0.000185897,3.83E-05,8.60E-06,8.51E-04
59,0.000178488,0.000106906,0.000149505,0.000102616,0.000202881,4.23E-05,9.51E-06,8.20E-04
60,0.000186066,0.000111971,0.000161446,0.00011107,0.000219495,4.63E-05,1.04E-05,7.86E-04
61,0.000192867,0.000116603,0.000173109,0.00011938,0.000235783,5.03E-05,1.13E-05,7.51E-04
62,0.000198997,0.000120861,0.000184529,0.000127566,0.000251793,5.43E-05,1.22E-05,7.16E-04
63,0.000204544,0.000124791,0.000195734,0.000135647,0.000267561,5.83E-05,1.32E-05,6.82E-04
64,0.000209574,0.000128427,0.000206744,0.000143634,0.000283119,6.24E-05,1.41E-05,6.48E-04
65,0.00021414,0.000131797,0.000217575,0.000151538,0.000298489,6.64E-05,1.50E-05,6.16E-04
66,0.000218283,0.000134924,0.000228235,0.000159364,0.000313684,7.05E-05,1.60E-05,5.86E-04
67,0.000222036,0.000137824,0.000238732,0.000167115,0.000328716,7.46E-05,1.69E-05,5.56E-04
68,0.000225429,0.000140512,0.000249068,0.000174793,0.00034359,7.87E-05,1.79E-05,5.28E-04
69,0.000228485,0.000143001,0.000259247,0.0001824,0.000358311,8.28E-05,1.89E-05,5.02E-04
70,0.000231225,0.0001453,0.000269268,0.000189934,0.000372881,8.70E-05,1.99E-05,4.77E-04
71,0.000233667,0.00014742,0.000279132,0.000197396,0.000387301,9.11E-05,2.09E-05,4.53E-04
72,0.00023583,0.00014937,0.00028884,0.000204785,0.000401571,9.53E-05,2.19E-05,4.31E-04
73,0.000237729,0.000151157,0.000298391,0.000212099,0.000415692,9.95E-05,2.29E-05,4.10E-04
74,0.000239378,0.00015279,0.000307786,0.000219338,0.000429662,0.000103751,2.39E-05,3.90E-04
75,0.000240793,0.000154275,0.000317023,0.000226502,0.000443482,0.000107984,2.49E-05,3.71E-04
