generation,stra.13543,stra.13544,stra.13545,stra.13546,stra.13547,stra.13548,stra.13549,stra.13550,stra.13551,stra.13664,stra.13665,stra.13666,stra.13667,stra.13668,stra.13669,stra.13670,stra.13671,stra.13672,stra.13785,stra.13786,stra.13787,stra.13788,stra.13789,stra.13790,stra.13791,stra.13792,stra.13793,stra.13906,stra.13907,stra.13908,stra.13909,stra.13910,stra.13911,stra.13912,stra.13913,stra.13914,stra.14027,stra.14028,stra.14029,stra.14030,stra.14031,stra.14032,stra.14033,stra.14034,stra.14035,stra.14148,stra.14149,stra.14150,stra.14151,stra.14152,stra.14153,stra.14154,stra.14155,stra.14156,stra.14269,stra.14270,stra.14271,stra.14272,stra.14273,stra.14274,stra.14275,stra.14276,stra.14277,stra.14390,stra.14391,stra.14392,stra.14393,stra.14394,stra.14395,stra.14396,stra.14397,stra.14398,stra.14511,stra.14512,stra.14513,stra.14514,stra.14515,stra.14516,stra.14517,stra.14518,stra.14519,
init,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,5.53E-03
0,6.81E-05,6.81E-05,6.79E-05,6.77E-05,6.74E-05,6.71E-05,6.68E-05,6.65E-05,6.62E-05,6.74E-05,6.74E-05,6.72E-05,6.69E-05,6.66E-05,6.63E-05,6.60E-05,6.57E-05,6.54E-05,6.66E-05,6.66E-05,6.63E-05,6.60E-05,6.57E-05,6.54E-05,6.51E-05,6.48E-05,6.45E-05,6.57E-05,6.56E-05,6.53E-05,6.50E-05,6.47E-05,6.44E-05,6.41E-05,6.38E-05,6.35E-05,6.46E-05,6.44E-05,6.41E-05,6.38E-05,6.35E-05,6.32E-05,6.29E-05,6.26E-05,6.23E-05,6.32E-05,6.30E-05,6.27E-05,6.24E-05,6.21E-05,6.18E-05,6.15E-05,6.13E-05,6.10E-05,6.16E-05,6.13E-05,6.10E-05,6.07E-05,6.04E-05,6.02E-05,5.99E-05,5.97E-05,5.94E-05,5.94E-05,5.92E-05,5.89E-05,5.86E-05,5.84E-05,5.81E-05,5.79E-05,5.77E-05,5.75E-05,5.65E-05,5.63E-05,5.61E-05,5.59E-05,5.57E-05,5.56E-05,5.54E-05,5.53E-05,5.52E-05,5.08E-03
1,6.79E-05,6.78E-05,6.74E-05,6.69E-05,6.63E-05,6.57E-05,6.51E-05,6.45E-05,6.39E-05,6.66E-05,6.64E-05,6.60E-05,6.54E-05,6.48E-05,6.42E-05,6.36E-05,6.30E-05,6.23E-05,6.50E-05,6.48E-05,6.43E-05,6.37E-05,6.31E-05,6.24E-05,6.18E-05,6.12E-05,6.06E-05,6.31E-05,6.28E-05,6.23E-05,6.17E-05,6.11E-05,6.05E-05,5.99E-05,5.93E-05,5.87E-05,6.10E-05,6.06E-05,6.00E-05,5.94E-05,5.88E-05,5.82E-05,5.76E-05,5.71E-05,5.66E-05,5.84E-05,5.79E-05,5.74E-05,5.68E-05,5.62E-05,5.56E-05,5.51E-05,5.46E-05,5.41E-05,5.53E-05,5.48E-05,5.42E-05,5.36E-05,5.31E-05,5.26E-05,5.22E-05,5.17E-05,5.13E-05,5.14E-05,5.09E-05,5.04E-05,4.99E-05,4.95E-05,4.91E-05,4.87E-05,4.83E-05,4.80E-05,4.63E-05,4.59E-05,4.55E-05,4.52E-05,4.49E-05,4.47E-05,4.44E-05,4.42E-05,4.40E-05,4.66E-03
2,6.76E-05,6.75E-05,6.69E-05,6.60E-05,6.51E-05,6.42E-05,6.33E-05,6.23E-05,6.14E-05,6.56E-05,6.54E-05,6.47E-05,6.38E-05,6.29E-05,6.20E-05,6.10E-05,6.01E-05,5.92E-05,6.33E-05,6.29E-05,6.21E-05,6.13E-05,6.03E-05,5.94E-05,5.85E-05,5.76E-05,5.67E-05,6.06E-05,6.01E-05,5.93E-05,5.84E-05,5.74E-05,5.66E-05,5.57E-05,5.48E-05,5.40E-05,5.74E-05,5.68E-05,5.60E-05,5.51E-05,5.42E-05,5.34E-05,5.25E-05,5.18E-05,5.10E-05,5.38E-05,5.31E-05,5.22E-05,5.14E-05,5.06E-05,4.98E-05,4.90E-05,4.83E-05,4.77E-05,4.94E-05,4.87E-05,4.79E-05,4.71E-05,4.64E-05,4.57E-05,4.51E-05,4.45E-05,4.39E-05,4.42E-05,4.35E-05,4.28E-05,4.21E-05,4.16E-05,4.10E-05,4.05E-05,4.01E-05,3.97E-05,3.76E-05,3.70E-05,3.66E-05,3.62E-05,3.58E-05,3.55E-05,3.52E-05,3.49E-05,3.47E-05,4.27E-03
3,6.74E-05,6.71E-05,6.62E-05,6.51E-05,6.38E-05,6.26E-05,6.13E-05,6.00E-05,5.88E-05,6.47E-05,6.43E-05,6.33E-05,6.21E-05,6.09E-05,5.96E-05,5.84E-05,5.72E-05,5.60E-05,6.16E-05,6.10E-05,6.00E-05,5.88E-05,5.75E-05,5.63E-05,5.51E-05,5.40E-05,5.29E-05,5.80E-05,5.74E-05,5.63E-05,5.51E-05,5.39E-05,5.27E-05,5.16E-05,5.05E-05,4.95E-05,5.40E-05,5.32E-05,5.21E-05,5.09E-05,4.98E-05,4.87E-05,4.77E-05,4.67E-05,4.58E-05,4.94E-05,4.85E-05,4.74E-05,4.63E-05,4.53E-05,4.43E-05,4.34E-05,4.25E-05,4.17E-05,4.40E-05,4.31E-05,4.21E-05,4.11E-05,4.02E-05,3.94E-05,3.87E-05,3.80E-05,3.73E-05,3.78E-05,3.69E-05,3.61E-05,3.53E-05,3.46E-05,3.40E-05,3.34E-05,3.29E-05,3.25E-05,3.02E-05,2.96E-05,2.91E-05,2.86E-05,2.82E-05,2.79E-05,2.75E-05,2.73E-05,2.70E-05,3.91E-03
4,6.71E-05,6.67E-05,6.55E-05,6.40E-05,6.24E-05,6.08E-05,5.92E-05,5.76E-05,5.61E-05,6.37E-05,6.31E-05,6.19E-05,6.03E-05,5.88E-05,5.72E-05,5.56E-05,5.42E-05,5.27E-05,5.99E-05,5.91E-05,5.78E-05,5.63E-05,5.47E-05,5.32E-05,5.18E-05,5.04E-05,4.90E-05,5.56E-05,5.47E-05,5.33E-05,5.18E-05,5.03E-05,4.89E-05,4.75E-05,4.63E-05,4.50E-05,5.07E-05,4.97E-05,4.83E-05,4.69E-05,4.55E-05,4.42E-05,4.30E-05,4.19E-05,4.08E-05,4.53E-05,4.41E-05,4.28E-05,4.15E-05,4.03E-05,3.92E-05,3.82E-05,3.72E-05,3.63E-05,3.91E-05,3.80E-05,3.68E-05,3.57E-05,3.47E-05,3.38E-05,3.29E-05,3.22E-05,3.14E-05,3.21E-05,3.11E-05,3.02E-05,2.93E-05,2.86E-05,2.79E-05,2.73E-05,2.68E-05,2.63E-05,2.41E-05,2.34E-05,2.28E-05,2.24E-05,2.20E-05,2.16E-05,2.13E-05,2.10E-05,2.08E-05,3.58E-03
5,6.68E-05,6.62E-05,6.47E-05,6.28E-05,6.09E-05,5.89E-05,5.70E-05,5.51E-05,5.33E-05,6.28E-05,6.20E-05,6.04E-05,5.85E-05,5.66E-05,5.47E-05,5.29E-05,5.11E-05,4.94E-05,5.82E-05,5.72E-05,5.56E-05,5.37E-05,5.19E-05,5.01E-05,4.84E-05,4.68E-05,4.53E-05,5.32E-05,5.20E-05,5.03E-05,4.86E-05,4.68E-05,4.52E-05,4.37E-05,4.22E-05,4.08E-05,4.76E-05,4.63E-05,4.47E-05,4.30E-05,4.15E-05,4.00E-05,3.86E-05,3.74E-05,3.62E-05,4.14E-05,4.01E-05,3.86E-05,3.71E-05,3.57E-05,3.45E-05,3.34E-05,3.23E-05,3.13E-05,3.46E-05,3.33E-05,3.20E-05,3.08E-05,2.97E-05,2.87E-05,2.78E-05,2.70E-05,2.63E-05,2.72E-05,2.61E-05,2.51E-05,2.42E-05,2.34E-05,2.27E-05,2.21E-05,2.16E-05,2.11E-05,1.90E-05,1.83E-05,1.78E-05,1.73E-05,1.69E-05,1.66E-05,1.63E-05,1.60E-05,1.58E-05,3.28E-03
6,6.65E-05,6.57E-05,6.38E-05,6.16E-05,5.92E-05,5.69E-05,5.47E-05,5.26E-05,5.05E-05,6.18E-05,6.08E-05,5.88E-05,5.66E-05,5.44E-05,5.22E-05,5.01E-05,4.81E-05,4.62E-05,5.66E-05,5.53E-05,5.33E-05,5.12E-05,4.91E-05,4.70E-05,4.51E-05,4.33E-05,4.16E-05,5.08E-05,4.94E-05,4.74E-05,4.54E-05,4.35E-05,4.16E-05,3.99E-05,3.83E-05,3.68E-05,4.46E-05,4.31E-05,4.12E-05,3.93E-05,3.76E-05,3.60E-05,3.45E-05,3.32E-05,3.19E-05,3.78E-05,3.63E-05,3.46E-05,3.30E-05,3.15E-05,3.02E-05,2.90E-05,2.79E-05,2.69E-05,3.05E-05,2.91E-05,2.77E-05,2.65E-05,2.53E-05,2.43E-05,2.34E-05,2.26E-05,2.18E-05,2.29E-05,2.17E-05,2.07E-05,1.98E-05,1.90E-05,1.84E-05,1.78E-05,1.72E-05,1.68E-05,1.49E-05,1.42E-05,1.37E-05,1.32E-05,1.29E-05,1.25E-05,1.23E-05,1.20E-05,1.18E-05,3.01E-03
7,6.62E-05,6.51E-05,6.28E-05,6.02E-05,5.75E-05,5.49E-05,5.24E-05,4.99E-05,4.76E-05,6.09E-05,5.96E-05,5.72E-05,5.47E-05,5.21E-05,4.96E-05,4.73E-05,4.50E-05,4.30E-05,5.50E-05,5.34E-05,5.11E-05,4.87E-05,4.63E-05,4.40E-05,4.19E-05,3.99E-05,3.81E-05,4.86E-05,4.69E-05,4.47E-05,4.24E-05,4.02E-05,3.82E-05,3.63E-05,3.46E-05,3.30E-05,4.17E-05,4.00E-05,3.79E-05,3.59E-05,3.40E-05,3.23E-05,3.07E-05,2.93E-05,2.80E-05,3.45E-05,3.28E-05,3.09E-05,2.92E-05,2.77E-05,2.63E-05,2.51E-05,2.39E-05,2.29E-05,2.69E-05,2.54E-05,2.39E-05,2.26E-05,2.14E-05,2.04E-05,1.95E-05,1.87E-05,1.80E-05,1.92E-05,1.80E-05,1.70E-05,1.61E-05,1.54E-05,1.47E-05,1.41E-05,1.36E-05,1.32E-05,1.16E-05,1.09E-05,1.04E-05,1.00E-05,9.68E-06,9.40E-06,9.15E-06,8.94E-06,8.74E-06,2.76E-03
8,6.59E-05,6.45E-05,6.19E-05,5.88E-05,5.58E-05,5.28E-05,5.00E-05,4.73E-05,4.48E-05,6.00E-05,5.83E-05,5.56E-05,5.27E-05,4.98E-05,4.71E-05,4.45E-05,4.21E-05,3.98E-05,5.35E-05,5.16E-05,4.89E-05,4.62E-05,4.36E-05,4.11E-05,3.88E-05,3.66E-05,3.47E-05,4.64E-05,4.45E-05,4.20E-05,3.95E-05,3.71E-05,3.50E-05,3.30E-05,3.12E-05,2.95E-05,3.91E-05,3.71E-05,3.48E-05,3.26E-05,3.06E-05,2.88E-05,2.72E-05,2.57E-05,2.44E-05,3.14E-05,2.96E-05,2.76E-05,2.58E-05,2.42E-05,2.28E-05,2.16E-05,2.04E-05,1.94E-05,2.37E-05,2.21E-05,2.05E-05,1.92E-05,1.80E-05,1.70E-05,1.62E-05,1.54E-05,1.47E-05,1.60E-05,1.49E-05,1.38E-05,1.30E-05,1.23E-05,1.17E-05,1.12E-05,1.07E-05,1.03E-05,8.95E-06,8.34E-06,7.87E-06,7.51E-06,7.21E-06,6.97E-06,6.75E-06,6.57E-06,6.40E-06,2.53E-03
