name,stra.13321,stra.13332,stra.13442,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,7.66E-05,7.44E-05,7.64E-05,6.88E-05
2,8.55E-05,8.07E-05,8.50E-05,6.94E-05
3,9.48E-05,8.72E-05,9.41E-05,7.02E-05
4,0.00010468,9.40E-05,0.000103524,7.10E-05
5,0.000114965,0.000101056,0.000113359,7.20E-05
6,0.000125661,0.000108312,0.000123533,7.31E-05
7,0.000136756,0.000115818,0.00013403,7.44E-05
8,0.000148254,0.000123606,0.000144856,7.58E-05
9,0.000160187,0.000131727,0.00015604,7.74E-05
10,0.000172617,0.000140251,0.000167645,7.92E-05
11,0.000185644,0.000149276,0.000179768,8.13E-05
12,0.000199404,0.000158925,0.000192548,8.36E-05
13,0.000214087,0.000169357,0.00020617,8.62E-05
14,0.000229934,0.000180771,0.000220875,8.91E-05
15,0.000247255,0.000193414,0.000236968,9.24E-05
16,0.000266437,0.000207596,0.000254832,9.62E-05
17,0.000287965,0.000223701,0.000274949,1.00E-04
18,0.000312446,0.000242212,0.000297919,1.05E-04
19,0.000340632,0.000263729,0.00032449,1.11E-04
20,0.000373455,0.000288999,0.000355594,1.17E-04
21,0.00041206,0.000318945,0.000392383,1.24E-04
22,0.000457823,0.000354687,0.000436252,1.32E-04
23,0.000512352,0.000397545,0.000488854,1.41E-04
24,0.000577423,0.000448998,0.000552047,1.50E-04
25,0.000654816,0.000510557,0.000627744,1.60E-04
26,0.000745989,0.000583516,0.000717615,1.71E-04
27,0.000851577,0.00066855,0.000822586,1.81E-04
28,0.000970784,0.000765215,0.000942229,1.90E-04
29,0.00110091,0.000871538,0.00107423,1.96E-04
30,0.00123736,0.000983984,0.00121434,2.00E-04
31,0.00137441,0.001098,0.00135698,2.01E-04
32,0.00150645,0.00120903,0.00149654,1.97E-04
33,0.00162922,0.00131349,0.00162851,1.91E-04
34,0.0017404,0.00140932,0.00175024,1.82E-04
35,0.00183952,0.00149592,0.00186086,1.72E-04
36,0.00192735,0.00157372,0.00196083,1.60E-04
37,0.00200535,0.00164376,0.00205131,1.49E-04
38,0.00207514,0.00170723,0.00213373,1.37E-04
39,0.00213828,0.00176531,0.0022095,1.26E-04
40,0.00219609,0.00181903,0.00227986,1.15E-04
41,0.00224968,0.00186926,0.00234587,1.05E-04
42,0.00229992,0.00191669,0.00240837,9.60E-05
43,0.00234752,0.00196186,0.00246805,8.75E-05
44,0.00239302,0.00200521,0.00252543,7.96E-05
45,0.00243684,0.00204709,0.00258095,7.25E-05
46,0.00247932,0.00208778,0.00263495,6.59E-05
47,0.00252073,0.00212748,0.0026877,5.99E-05
48,0.00256128,0.00216637,0.00273943,5.44E-05
49,0.00260114,0.0022046,0.00279031,4.95E-05
50,0.00264045,0.00224227,0.00284048,4.49E-05
51,0.00267933,0.0022795,0.00289009,4.08E-05
52,0.00271787,0.00231636,0.00293922,3.71E-05
53,0.00275616,0.00235291,0.00298796,3.36E-05
54,0.00279425,0.00238922,0.0030364,3.05E-05
55,0.00283221,0.00242534,0.0030846,2.77E-05
56,0.00287009,0.0024613,0.0031326,2.52E-05
57,0.00290794,0.00249715,0.00318047,2.28E-05
58,0.00294578,0.00253292,0.00322824,2.07E-05
59,0.00298365,0.00256864,0.00327595,1.88E-05
60,0.00302158,0.00260433,0.00332364,1.70E-05
61,0.0030596,0.00264001,0.00337134,1.55E-05
62,0.00309772,0.00267572,0.00341907,1.40E-05
63,0.00313598,0.00271145,0.00346686,1.27E-05
64,0.00317438,0.00274725,0.00351473,1.15E-05
65,0.00321294,0.0027831,0.0035627,1.05E-05
66,0.00325169,0.00281904,0.00361079,9.48E-06
67,0.00329063,0.00285508,0.00365902,8.59E-06
68,0.00332977,0.00289122,0.0037074,7.78E-06
69,0.00336913,0.00292747,0.00375594,7.05E-06
70,0.00340872,0.00296385,0.00380467,6.39E-06
71,0.00344855,0.00300037,0.00385359,5.79E-06
72,0.00348862,0.00303703,0.00390271,5.24E-06
73,0.00352895,0.00307385,0.00395205,4.75E-06
74,0.00356955,0.00311082,0.00400162,4.30E-06
75,0.00361041,0.00314796,0.00405142,3.89E-06
76,0.00365156,0.00318527,0.00410147,3.52E-06
77,0.00369299,0.00322277,0.00415177,3.19E-06
78,0.00373472,0.00326045,0.00420233,2.89E-06
79,0.00377674,0.00329832,0.00425315,2.61E-06
80,0.00381907,0.00333638,0.00430426,2.36E-06
81,0.0038617,0.00337465,0.00435565,2.14E-06
82,0.00390466,0.00341313,0.00440733,1.93E-06
83,0.00394793,0.00345181,0.0044593,1.75E-06
84,0.00399153,0.00349071,0.00451158,1.58E-06
85,0.00403546,0.00352983,0.00456416,1.43E-06
86,0.00407972,0.00356918,0.00461706,1.29E-06
87,0.00412433,0.00360875,0.00467027,1.16E-06
88,0.00416927,0.00364855,0.00472382,1.05E-06
89,0.00421457,0.00368859,0.00477769,9.50E-07
90,0.00426022,0.00372886,0.00483189,8.58E-07
91,0.00430622,0.00376938,0.00488643,7.75E-07
92,0.00435258,0.00381014,0.00494132,6.99E-07
93,0.0043993,0.00385115,0.00499655,6.31E-07
94,0.0044464,0.00389241,0.00505214,5.69E-07
95,0.00449386,0.00393392,0.00510808,5.14E-07
96,0.0045417,0.0039757,0.00516438,4.63E-07
97,0.00458991,0.00401773,0.00522104,4.18E-07
98,0.00463851,0.00406002,0.00527808,3.77E-07
99,0.00468749,0.00410257,0.00533548,3.39E-07
100,0.00473685,0.0041454,0.00539326,3.06E-07
101,0.00478661,0.00418849,0.00545141,2.75E-07
102,0.00483676,0.00423186,0.00550995,2.48E-07
103,0.00488731,0.0042755,0.00556887,2.23E-07
104,0.00493826,0.00431941,0.00562818,2.01E-07
105,0.00498961,0.00436361,0.00568788,1.81E-07
106,0.00504136,0.00440808,0.00574798,1.63E-07
107,0.00509353,0.00445284,0.00580847,1.47E-07
