participant.id_in_session,rpd.round.1,rpd.round.2,rpd.round.3,rpd.round.4,rpd.round.5,rpd.round.6,rpd.round.7,rpd.round.8,rpd.round.9,rpd.round.10,rpd.round.11,rpd.round.12,rpd.round.13,rpd.round.14,rpd.round.15,rpd.round.16,rpd.round.17,rpd.round.18,rpd.round.19,rpd.round.20
3,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
5,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
15,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
41,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0
33,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
47,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
59,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1
65,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
45,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
71,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
69,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
67,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
79,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
83,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
